Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.023255813953488372,3.040013679890561,5.0314637482900135,0.002051983584131327,2924,3.774281805745554,3.0526675786593707,0.01573187414500684,0.277359781121751,6.881367521367522,2925,0.11696306429548564,0.20102564102564102,y
2016,0.018009168303863784,3.178127046496398,5.12475442043222,0.0026195153896529143,3054,3.5920104780615585,2.4656188605108054,0.0006548788474132286,1.3408644400785854,2.098494764397906,3056,0.10412573673870335,0.1482329842931937,y
2017,0.007111412123264477,4.618015577378936,5.4378598035895696,0.0016931933626820183,2953,3.659329495428378,2.134439552996952,0.010836437521164918,0.46935320013545545,4.326219512195122,2952,0.110734845919404,0.16056910569105692,y
2018,0.012359550561797753,6.334831460674157,9.657303370786517,0.0033707865168539327,1780,3.986516853932584,3.7679775280898875,0.0,1.7949438202247192,2.8707865168539324,1780,0.11629213483146067,0.16573033707865167,y
2019,0.01854364540931705,6.120307553143374,13.188150158299411,0.0027137042062415195,2211,5.886928991406603,3.639077340569878,0.0,1.9525101763907735,5.977848101265823,2212,0.15332428765264586,0.19349005424954793,y
1,0.017346938775510204,6.331632653061225,8.289795918367346,0.0010204081632653062,980,4.235714285714286,2.446938775510204,0.0,0.6285714285714286,5.490853658536586,984,0.13163265306122449,0.19817073170731708,m
2,0.03571428571428571,4.809523809523809,9.424242424242424,0.0021645021645021645,924,5.093073593073593,3.2759740259740258,0.0,1.8603896103896105,8.296216216216216,925,0.14285714285714285,0.2172972972972973,m
3,0.017937219730941704,4.663677130044843,5.609865470852018,0.0008968609865470852,1115,3.574887892376682,2.2125560538116593,0.0,0.6636771300448431,5.495964125560538,1115,0.09327354260089686,0.15246636771300448,m
4,0.020060180541624874,2.287863590772317,3.611835506519559,0.0020060180541624875,997,3.075225677031093,2.272818455366098,0.0,1.6770310932798396,2.163141993957704,993,0.09227683049147442,0.14602215508559918,m
5,0.011029411764705883,2.5238970588235294,2.4025735294117645,0.0009191176470588235,1088,2.2950367647058822,1.6066176470588236,0.0,0.5919117647058824,0.17307692307692307,1092,0.09834558823529412,0.13644688644688643,m
6,0.018800358102059087,5.09579230080573,9.448522829006267,0.005371530886302597,1117,3.9516562220232765,5.493285586392122,0.0,0.4619516562220233,5.398745519713262,1116,0.12175470008952552,0.17383512544802868,m
7,0.021867115222876366,3.492010092514718,8.186711522287636,0.001682085786375105,1189,5.1051303616484445,3.646761984861228,0.001682085786375105,1.2834314550042052,8.572268907563025,1190,0.12363330529857022,0.20252100840336135,m
8,0.013934426229508197,3.077049180327869,6.45327868852459,0.007377049180327869,1220,5.24344262295082,2.8959016393442623,0.0,0.7401639344262295,7.307377049180328,1220,0.13114754098360656,0.18688524590163935,m
9,0.006439742410303588,3.873965041398344,5.405703771849126,0.0009199632014719411,1087,3.361545538178473,2.408463661453542,0.0,1.0018399264029438,1.0533578656853726,1087,0.10671573137074516,0.1297148114075437,m
10,0.004512635379061372,5.555956678700361,6.093862815884476,0.0036101083032490976,1108,3.204873646209386,1.605595667870036,0.0,0.9765342960288809,1.9567567567567568,1110,0.09296028880866426,0.14504504504504503,m
11,0.013628620102214651,4.050255536626916,7.90885860306644,0.0008517887563884157,1174,4.398637137989779,3.734241908006814,0.0,1.3168654173764907,1.5140425531914894,1175,0.131175468483816,0.1778723404255319,m
12,0.014084507042253521,8.065005417118094,14.511375947995667,0.0010834236186348862,923,5.70747562296858,3.0552546045503792,0.08450704225352113,1.897074756229686,6.389978213507625,918,0.1657638136511376,0.2222222222222222,m
Mon,0.025362318840579712,5.625776397515528,10.458592132505176,0.003105590062111801,1932,5.254140786749482,3.4042443064182195,0.0,1.2168737060041408,6.2850515463917525,1940,0.12732919254658384,0.18402061855670104,d
Tue,0.018433179723502304,4.723502304147465,6.413722478238607,0.0030721966205837174,1953,3.7875064004096264,2.370199692780338,0.0,1.0046082949308757,5.077814569536423,1812,0.12698412698412698,0.1716335540838852,d
Wed,0.01757276221856123,3.1235584843492585,5.611751784733663,0.001098297638660077,1821,4.907193849533224,2.6946732564524987,0.0,0.6617243272926964,4.492119979664464,1967,0.1186161449752883,0.17386883579054396,d
Thu,0.014910025706940874,3.410796915167095,5.82827763496144,0.002056555269922879,1945,3.547043701799486,3.2555269922879178,0.0,0.8395886889460155,5.2690329218107,1944,0.11311053984575835,0.19135802469135801,d
Fri,0.009268795056642637,4.299691040164778,8.375386199794027,0.0020597322348094747,1942,4.085478887744594,3.501029866117405,0.0,1.314109165808445,4.296049256028732,1949,0.12358393408856849,0.17547460236018472,d
Sat,0.008620689655172414,3.768567639257294,3.156498673740053,0.002652519893899204,1508,2.287798408488064,1.8587533156498675,0.001326259946949602,0.9887267904509284,0.5584324702589223,1429,0.08687002652519894,0.13995801259622112,d
Sun,0.016474464579901153,5.816035145524437,9.58704008786381,0.0027457440966501922,1821,4.479406919275124,3.00109829763866,0.042833607907743,1.4332784184514002,4.246815286624204,1884,0.12740252608456892,0.16666666666666666,d
