Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.0353395913859746,3.4914411927112092,5.163997791275539,0.0005521811154058532,1811,3.9342904472667035,3.5659856432909995,0.0,0.8128106018774158,1.3178807947019868,1812,0.11098840419657648,0.1534216335540839,y
2016,0.005291005291005291,0.9074074074074074,1.4761904761904763,0.0013227513227513227,756,3.869047619047619,1.2301587301587302,0.0,1.316137566137566,3.0317880794701986,755,0.08994708994708994,0.15496688741721854,y
2017,0.010354223433242507,3.802724795640327,8.955858310626702,0.0005449591280653951,1835,8.477929155313351,2.0158038147138964,0.0,0.6376021798365122,8.360914534567229,1837,0.14822888283378746,0.19488296135002722,y
2018,0.02758298270219729,4.243571762505844,7.191678354371201,0.0018700327255726976,2139,6.0822814399251985,2.5563347358578774,0.011220196353436185,0.7900888265544647,4.465170640486209,2139,0.13417484805984103,0.18373071528751753,y
2019,0.03456116416552979,3.927694406548431,11.427012278308322,0.001364256480218281,2199,6.428831286948613,3.499317871759891,0.0,2.56343792633015,4.492496589358799,2199,0.1550704865848113,0.1809913597089586,y
1,0.057971014492753624,3.5300207039337472,12.693581780538302,0.002070393374741201,483,10.900621118012422,4.283643892339544,0.0,0.7163561076604554,10.312629399585921,483,0.17805383022774326,0.2525879917184265,m
2,0.0958904109589041,2.0821917808219177,10.176125244618396,0.0,511,7.6614481409001955,4.088062622309198,0.0,3.9608610567514675,8.785575048732943,513,0.1780821917808219,0.24951267056530213,m
3,0.02122347066167291,4.1847690387016225,6.867665418227216,0.0012484394506866417,801,6.143570536828964,1.4681647940074907,0.0299625468164794,0.9975031210986267,4.118453865336658,802,0.12609238451935081,0.1596009975062344,m
4,0.027298850574712645,2.785919540229885,6.295977011494253,0.0,696,6.189655172413793,2.278735632183908,0.0,0.8304597701149425,2.822766570605187,694,0.11350574712643678,0.14697406340057637,m
5,0.013175230566534914,3.0579710144927534,6.176548089591567,0.0,759,4.2187088274044795,3.0144927536231885,0.0,1.9156785243741765,4.501315789473685,760,0.11198945981554677,0.14605263157894738,m
6,0.03694267515923567,4.342675159235669,11.501910828025478,0.003821656050955414,785,7.923566878980892,3.973248407643312,0.0,1.045859872611465,8.511450381679388,786,0.1732484076433121,0.21501272264631044,m
7,0.014002333722287048,2.471411901983664,6.4317386231038505,0.0011668611435239206,857,6.100350058343057,3.23803967327888,0.0,0.9953325554259043,5.213535589264877,857,0.1295215869311552,0.17036172695449242,m
8,0.024,2.1142857142857143,7.220571428571429,0.002285714285714286,875,5.3428571428571425,2.5668571428571427,0.0,2.128,3.926857142857143,875,0.14057142857142857,0.16114285714285714,m
9,0.016415868673050615,4.783857729138167,3.7209302325581395,0.0013679890560875513,731,3.012311901504788,2.3912448700410396,0.0,0.4528043775649795,-1.4493150684931506,730,0.10259917920656635,0.13287671232876713,m
10,0.004032258064516129,6.036290322580645,8.487903225806452,0.0,744,5.771505376344086,1.782258064516129,0.0,0.5349462365591398,5.413978494623656,744,0.11155913978494623,0.1760752688172043,m
11,0.019417475728155338,2.662968099861304,4.447988904299584,0.0013869625520110957,721,4.660194174757281,2.4590846047156725,0.0,0.2510402219140083,-0.009695290858725761,722,0.11511789181692095,0.1481994459833795,m
12,0.010296010296010296,5.193050193050193,10.823680823680824,0.0,777,6.646074646074646,2.6447876447876446,0.0,1.694980694980695,4.81701030927835,776,0.1492921492921493,0.20876288659793815,m
Mon,0.04439252336448598,3.5514018691588785,9.41588785046729,0.000778816199376947,1284,6.8473520249221185,3.924454828660436,0.0,0.9228971962616822,8.518662519440124,1286,0.14563862928348908,0.18818040435458788,d
Tue,0.028594122319301033,3.7736298649722,9.739475774424147,0.0015885623510722795,1259,6.8395552025417,2.8641779189833203,0.0,1.9872915011914218,5.581081081081081,1258,0.14614773629864972,0.18282988871224165,d
Wed,0.019561815336463225,2.643974960876369,7.194053208137715,0.000782472613458529,1278,6.321596244131455,3.0805946791862286,0.0,1.2065727699530517,5.433046202036022,1277,0.14006259780907668,0.19263899765074394,d
Thu,0.0218408736349454,3.371294851794072,8.157566302652105,0.00078003120124805,1282,5.581123244929797,3.1302652106084246,0.0,1.9110764430577223,3.7045985970381916,1283,0.13962558502340094,0.17147310989867498,d
Fri,0.014018691588785047,3.44392523364486,6.399532710280374,0.000778816199376947,1284,5.468068535825545,2.0576323987538943,0.018691588785046728,1.3691588785046729,4.180046765393609,1283,0.12538940809968846,0.1730319563522993,d
Sat,0.014828544949026877,3.5977757182576457,4.126042632066729,0.0,1079,4.129749768303985,1.6172381835032437,0.0,0.7951807228915663,-2.275161588180979,1083,0.10009267840593142,0.13111726685133887,d
Sun,0.03296703296703297,5.0117739403453685,8.430141287284144,0.0031397174254317113,1274,6.781789638932496,2.565149136577708,0.0,0.5251177394034537,5.4245283018867925,1272,0.13422291993720564,0.19025157232704404,d
