Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2018,0.04596622889305816,3.2185741088180113,14.970919324577862,0.0009380863039399625,1066,10.26172607879925,1.3424015009380863,0.0,1.5393996247654784,12.849906191369605,1066,0.225140712945591,0.26454033771106944,y
2019,0.017486338797814208,2.66120218579235,2.226229508196721,0.0,915,2.3486338797814206,0.9060109289617486,0.00546448087431694,0.06994535519125683,1.8962882096069869,916,0.10382513661202186,0.14847161572052403,y
1,0.07368421052631578,3.5052631578947366,3.873684210526316,0.0,95,2.210526315789474,0.7578947368421053,0.0,0.0,4.134020618556701,97,0.14736842105263157,0.17525773195876287,m
2,0.037037037037037035,5.027777777777778,17.24074074074074,0.0,108,7.435185185185185,2.4074074074074074,0.046296296296296294,4.287037037037037,7.314814814814815,108,0.18518518518518517,0.2222222222222222,m
3,0.034013605442176874,1.1768707482993197,3.0340136054421767,0.0,147,4.428571428571429,1.5034013605442176,0.0,0.17006802721088435,1.7210884353741496,147,0.10884353741496598,0.1564625850340136,m
4,0.011764705882352941,3.152941176470588,3.1882352941176473,0.0,170,2.6058823529411765,0.8235294117647058,0.0,0.0,3.1176470588235294,170,0.13529411764705881,0.16470588235294117,m
5,0.0045871559633027525,3.1192660550458715,18.13302752293578,0.0,218,13.353211009174313,0.7568807339449541,0.0,1.646788990825688,13.825688073394495,218,0.26146788990825687,0.29357798165137616,m
6,0.10891089108910891,4.267326732673268,14.321782178217822,0.0,202,9.643564356435643,0.9108910891089109,0.0,0.5247524752475248,17.871287128712872,202,0.21782178217821782,0.29207920792079206,m
7,0.025974025974025976,0.5584415584415584,8.616883116883116,0.0,154,8.467532467532468,0.974025974025974,0.0,0.37012987012987014,8.294117647058824,153,0.18181818181818182,0.20915032679738563,m
8,0.029940119760479042,1.0419161676646707,15.113772455089821,0.005988023952095809,167,11.520958083832335,0.39520958083832336,0.0,1.5688622754491017,11.36094674556213,169,0.20958083832335328,0.23668639053254437,m
9,0.03125,4.09375,10.303571428571429,0.0,224,7.049107142857143,1.6116071428571428,0.0,0.90625,8.417777777777777,225,0.16517857142857142,0.2,m
10,0.010309278350515464,2.2731958762886597,2.3917525773195876,0.0,194,3.1082474226804124,0.9226804123711341,0.0,0.9845360824742269,2.7409326424870466,193,0.1134020618556701,0.17616580310880828,m
11,0.011560693641618497,3.5838150289017343,4.930635838150289,0.0,173,2.7803468208092488,1.8092485549132948,0.0,0.10404624277456648,5.127167630057803,173,0.1329479768786127,0.20809248554913296,m
12,0.031007751937984496,3.883720930232558,3.5348837209302326,0.0,129,1.7906976744186047,1.1550387596899225,0.0,0.16279069767441862,2.661417322834646,127,0.12403100775193798,0.12598425196850394,m
Mon,0.034013605442176874,5.9523809523809526,14.380952380952381,0.003401360544217687,294,8.377551020408163,1.064625850340136,0.0,0.6632653061224489,10.36949152542373,295,0.20748299319727892,0.2271186440677966,d
Tue,0.027586206896551724,2.286206896551724,9.648275862068965,0.0,290,7.768965517241379,0.9758620689655172,0.0,0.9655172413793104,7.429553264604811,291,0.19655172413793104,0.20962199312714777,d
Wed,0.023972602739726026,1.63013698630137,6.61986301369863,0.0,292,6.445205479452055,0.6541095890410958,0.017123287671232876,1.0582191780821917,6.13013698630137,292,0.1404109589041096,0.18835616438356165,d
Thu,0.041666666666666664,0.9895833333333334,8.041666666666666,0.0,288,6.517361111111111,1.3819444444444444,0.0,1.1111111111111112,8.982394366197184,284,0.1875,0.23591549295774647,d
Fri,0.041666666666666664,3.0659722222222223,9.628472222222221,0.0,288,6.708333333333333,1.0625,0.0,0.2534722222222222,11.824137931034484,290,0.17708333333333334,0.24482758620689654,d
Sat,0.012711864406779662,3.2415254237288136,3.266949152542373,0.0,236,3.055084745762712,1.1398305084745763,0.0,0.0,0.717948717948718,234,0.0847457627118644,0.13247863247863248,d
Sun,0.04436860068259386,3.5631399317406145,10.843003412969283,0.0,293,6.689419795221843,1.7064846416382253,0.0,1.8020477815699658,7.6891891891891895,296,0.17406143344709898,0.22297297297297297,d
