Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.04416796267496112,2.282426127527216,6.833592534992224,0.0015552099533437014,3215,6.369517884914464,2.4460342146189737,0.002177293934681182,0.13872472783825818,5.018662519440125,3215,0.14339035769828926,0.1816485225505443,y
2016,0.031053459119496855,1.9681603773584906,5.727594339622642,0.0007861635220125787,2544,6.331367924528302,3.2657232704402515,0.004323899371069182,0.1792452830188679,4.387907341970946,2547,0.13168238993710693,0.16215155084413035,y
2017,0.023036253776435044,1.8893504531722054,10.202794561933535,0.0,2648,10.148413897280967,5.382552870090635,0.0,0.04418429003021148,10.958490566037735,2650,0.18731117824773413,0.23849056603773586,y
2018,0.016108412170800307,4.959345435949885,9.956021477882894,0.0012784454103809768,3911,7.39785221171056,2.9849143441575046,0.002045512656609563,0.7808744566607005,5.293200408997955,3912,0.16210687803630786,0.18686094069529652,y
2019,0.020469876715515235,4.021865550127937,8.489183531053733,0.0025587345894394044,4299,6.857873924168412,2.10909513840428,0.013956734124214934,0.4803442661083973,6.304256803907886,4299,0.14933705512909978,0.18283321702721564,y
1,0.02736842105263158,2.328421052631579,5.970526315789474,0.0014035087719298245,1425,7.004912280701754,3.2371929824561403,0.0,0.12210526315789473,5.737026647966339,1426,0.15157894736842106,0.1900420757363254,m
2,0.03409090909090909,4.814935064935065,10.910714285714286,0.0016233766233766235,1232,7.392045454545454,3.7248376623376624,0.00487012987012987,0.2792207792207792,8.102272727272727,1232,0.1663961038961039,0.2012987012987013,m
3,0.022585669781931463,3.615264797507788,9.379283489096574,0.0,1284,7.394080996884735,3.898753894080997,0.007009345794392523,0.09579439252336448,7.090342679127726,1284,0.16121495327102803,0.19158878504672897,m
4,0.009544787077826725,2.043318649045521,2.936123348017621,0.0014684287812041115,1362,4.530102790014684,2.923641703377386,0.0,0.0022026431718061676,1.111518708730741,1363,0.11600587371512482,0.14233308877476156,m
5,0.012802275960170697,2.7233285917496444,9.408250355618776,0.0021337126600284497,1406,8.162162162162161,4.139402560455192,0.010668563300142247,0.40256045519203415,8.432432432432432,1406,0.17994310099573257,0.2147937411095306,m
6,0.03465003465003465,3.4885654885654884,9.891891891891891,0.000693000693000693,1443,8.765072765072764,3.0325710325710324,0.028413028413028413,0.12681912681912683,8.756756756756756,1443,0.16077616077616078,0.19473319473319473,m
7,0.030941408821593155,2.7761685319289007,7.2527978933508885,0.0032916392363396972,1519,7.256747860434497,2.11191573403555,0.005266622778143515,0.6813693219223174,6.016447368421052,1520,0.15602369980250164,0.18947368421052632,m
8,0.04986522911051213,3.4629380053908356,11.090970350404312,0.0013477088948787063,1484,9.487870619946092,2.518867924528302,0.0,0.8146900269541779,10.770215633423181,1484,0.16711590296495957,0.21900269541778974,m
9,0.02881619937694704,3.3730529595015577,7.748442367601246,0.001557632398753894,1284,6.575545171339564,2.3816199376947043,0.0,0.5926791277258567,2.4731098986749807,1283,0.14174454828660435,0.1636788776305534,m
10,0.023351648351648352,2.165521978021978,7.271291208791209,0.0027472527472527475,1456,7.3489010989010985,2.818681318681319,0.0,0.42925824175824173,3.6991089787525704,1459,0.1504120879120879,0.1706648389307745,m
11,0.018656716417910446,3.478358208955224,7.114179104477612,0.0,1340,6.583582089552239,2.2492537313432837,0.0,0.5134328358208955,1.2477611940298508,1340,0.13134328358208955,0.16044776119402984,m
12,0.01808972503617945,5.0615050651230105,11.542691751085384,0.0,1382,7.183791606367583,4.094066570188133,0.005065123010130246,0.308972503617945,11.219088937093275,1383,0.17004341534008682,0.2292118582791034,m
Mon,0.02818035426731079,5.291867954911433,11.828099838969404,0.00322061191626409,2484,8.363123993558776,3.57085346215781,0.0,0.1473429951690821,7.51609010458568,2486,0.17592592592592593,0.21198712791633145,d
Tue,0.01855848079413034,1.8243418213206732,4.6629261976694005,0.0008631851532153647,2317,7.019421665947346,2.327147173068623,0.0,0.07034958998705222,5.115698924731182,2325,0.13120414328873545,0.16946236559139785,d
Wed,0.021079258010118045,2.338954468802698,5.880691399662732,0.00042158516020236085,2372,5.836846543001687,3.0948566610455313,0.0,0.8115514333895447,4.939957716701903,2365,0.14376053962900506,0.1835095137420719,d
Thu,0.025898078529657476,2.2702589807852966,9.229323308270677,0.0012531328320802004,2394,8.903926482873851,3.5747702589807853,0.0037593984962406013,0.18170426065162906,9.380316930775646,2398,0.170843776106934,0.213511259382819,d
Fri,0.031035872632003223,3.633615477629988,9.353083434099153,0.0016122531237404273,2481,7.531237404272471,2.9500201531640466,0.025796049979846837,0.3430068520757759,8.091532258064516,2480,0.17654171704957677,0.20806451612903226,d
Sat,0.028703703703703703,4.201851851851852,8.355555555555556,0.0,2160,6.503240740740741,2.4837962962962963,0.000925925925925926,0.5120370370370371,1.4930747922437673,2166,0.12731481481481483,0.13619575253924285,d
Sun,0.028642590286425903,3.149854711498547,8.928601079286011,0.0020755500207555004,2409,7.032793690327937,3.4541303445413036,0.0045662100456621,0.5363221253632212,6.70120682480233,2403,0.15110004151100043,0.1947565543071161,d
