Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.028798411122144985,2.0377358490566038,5.065541211519364,0.005958291956305859,1007,6.651439920556108,2.022840119165839,0.009930486593843098,0.13406156901688182,8.421471172962226,1006,0.15690168818272096,0.23658051689860835,y
2016,0.02,4.412727272727273,6.971818181818182,0.0009090909090909091,1100,5.754545454545455,2.6354545454545453,0.0036363636363636364,0.1709090909090909,2.085532302092812,1099,0.15272727272727274,0.16014558689717925,y
2017,0.022191400832177532,2.7572815533980584,10.62135922330097,0.0027739251040221915,721,7.077669902912621,2.7142857142857144,0.0,2.986130374479889,1.5805555555555555,720,0.17614424410540916,0.17777777777777778,y
2018,0.02208835341365462,3.0796519410977243,8.605756358768406,0.002008032128514056,1494,7.657965194109773,3.1258366800535473,0.011378848728246318,1.3460508701472558,4.406291834002677,1494,0.18607764390896922,0.18607764390896922,y
2019,0.02392604676454595,4.271886895051659,12.092441544317564,0.0032626427406199023,1839,8.22620989668298,4.291462751495378,0.013050570962479609,1.2305600870038065,5.882544861337683,1839,0.19738988580750408,0.21479064709081022,y
1,0.017582417582417582,2.5934065934065935,9.881318681318682,0.001098901098901099,910,7.601098901098901,3.4571428571428573,0.023076923076923078,2.2989010989010987,4.902090209020902,909,0.1967032967032967,0.21892189218921893,m
2,0.025331724969843185,3.8166465621230397,10.003618817852836,0.0036188178528347406,829,7.262967430639325,3.0494571773220747,0.0,0.13268998793727382,5.849397590361446,830,0.21712907117008443,0.21686746987951808,m
3,0.009635974304068522,4.080299785867238,7.943254817987152,0.0010706638115631692,934,6.541755888650964,2.194860813704497,0.0010706638115631692,0.22483940042826553,3.298715203426124,934,0.18201284796573874,0.18843683083511778,m
4,0.020202020202020204,0.3686868686868687,-1.1313131313131313,0.005050505050505051,198,4.641414141414141,1.2878787878787878,0.0,0.42424242424242425,1.8010204081632653,196,0.12121212121212122,0.16326530612244897,m
5,0.02702702702702703,1.2432432432432432,2.5135135135135136,0.0,148,5.425675675675675,3.9527027027027026,0.0,0.14189189189189189,4.5608108108108105,148,0.11486486486486487,0.17567567567567569,m
6,0.04307116104868914,2.614232209737828,9.661048689138577,0.0056179775280898875,534,8.926966292134832,4.086142322097379,0.0,0.33146067415730335,7.837383177570094,535,0.15730337078651685,0.19065420560747665,m
7,0.02472952086553323,1.1978361669242659,4.330757341576507,0.0030911901081916537,647,4.624420401854714,4.795981452859351,0.03709428129829984,1.1143740340030912,2.7724458204334366,646,0.15919629057187018,0.19195046439628483,m
8,0.028428093645484948,5.551839464882943,7.260869565217392,0.0033444816053511705,598,5.526755852842809,2.483277591973244,0.0,0.745819397993311,3.4106844741235394,599,0.1354515050167224,0.15525876460767946,m
9,0.041666666666666664,6.115384615384615,9.381410256410257,0.00641025641025641,312,6.115384615384615,3.608974358974359,0.0,0.0,0.4258064516129032,310,0.14423076923076922,0.13225806451612904,m
10,0.05405405405405406,1.1418918918918919,3.4527027027027026,0.006756756756756757,148,6.952702702702703,0.9932432432432432,0.0,0.5472972972972973,5.120805369127517,149,0.13513513513513514,0.18120805369127516,m
11,0.020833333333333332,0.13541666666666666,2.2239583333333335,0.0,192,3.828125,1.5885416666666667,0.0,5.635416666666667,1.3802083333333333,192,0.08854166666666667,0.15104166666666666,m
12,0.012658227848101266,5.857946554149086,20.39803094233474,0.0028129395218002813,711,12.931082981715893,3.576652601969058,0.012658227848101266,2.4275668073136427,9.430985915492958,710,0.24472573839662448,0.2619718309859155,m
Mon,0.03333333333333333,4.530666666666667,11.010666666666667,0.0013333333333333333,750,9.069333333333333,2.504,0.0,0.5906666666666667,8.991946308724833,745,0.17866666666666667,0.21073825503355706,d
Tue,0.021037868162692847,2.0126227208976157,5.603085553997195,0.001402524544179523,713,6.73492286115007,2.6465638148667603,0.04067321178120617,0.39691444600280507,4.9971870604782,711,0.1767180925666199,0.20253164556962025,d
Wed,0.023228803716608595,4.004645760743322,10.02903600464576,0.0011614401858304297,861,7.464576074332172,3.533101045296167,0.004645760743321719,1.886178861788618,5.780742459396752,862,0.16376306620209058,0.20765661252900233,d
Thu,0.017105263157894738,2.331578947368421,8.35,0.002631578947368421,760,6.217105263157895,3.5631578947368423,0.0,2.788157894736842,4.616094986807388,758,0.1723684210526316,0.19525065963060687,d
Fri,0.02490170380078637,3.418086500655308,11.53211009174312,0.002621231979030144,763,8.90694626474443,3.614678899082569,0.0,1.7051114023591087,5.626143790849674,765,0.18610747051114024,0.19477124183006536,d
Sat,0.02142310635042081,4.4407039020658,8.793420045906656,0.005355776587605203,1307,6.351951032899771,2.325937260902831,0.0007651109410864575,0.4452945677123183,1.9413075780089153,1346,0.19051262433052793,0.1961367013372957,d
Sun,0.023833167825223437,2.865938430983118,7.941410129096326,0.003972194637537239,1007,6.798411122144985,4.113207547169812,0.020854021847070508,0.3952333664349553,3.761071060762101,971,0.16981132075471697,0.1791967044284243,d
