Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2018,0.007936507936507936,5.420634920634921,18.91269841269841,0,126,9.777777777777779,2.746031746031746,0,0.6349206349206349,7.253968253968254,126,0.3253968253968254,0.20634920634920634,y
2019,0.009523809523809525,4.0,23.076190476190476,0,105,7.504761904761905,2.4857142857142858,0,7.533333333333333,5.523809523809524,105,0.3333333333333333,0.19047619047619047,y
1,0.037037037037037035,0.2962962962962963,12.037037037037036,0,27,8.592592592592593,1.4074074074074074,0,0.3333333333333333,6.62962962962963,27,0.18518518518518517,0.14814814814814814,m
2,0.0,4.125,7.041666666666667,0,24,3.7083333333333335,5.291666666666667,0,0.0,-1.4583333333333333,24,0.16666666666666666,0.08333333333333333,m
3,0.0,6.5,10.5,0,20,2.8,0.3,0,0.0,-3.2,20,0.15,0.1,m
4,0.0,2.611111111111111,12.777777777777779,0,18,0.7777777777777778,1.3333333333333333,0,6.111111111111111,-1.5555555555555556,18,0.2222222222222222,0.0,m
5,0.058823529411764705,8.882352941176471,47.1764705882353,0,17,37.0,0.7058823529411765,0,0.0,34.05882352941177,17,0.47058823529411764,0.29411764705882354,m
6,0.0,2.3529411764705883,23.41176470588235,0,17,6.764705882352941,3.7058823529411766,0,4.705882352941177,8.941176470588236,17,0.5294117647058824,0.35294117647058826,m
7,0.0,20.833333333333332,31.61111111111111,0,18,5.888888888888889,0.9444444444444444,0,0.0,2.611111111111111,18,0.3888888888888889,0.2777777777777778,m
8,0.0,3.8333333333333335,20.77777777777778,0,18,10.777777777777779,2.4444444444444446,0,0.0,10.833333333333334,18,0.4444444444444444,0.3333333333333333,m
9,0.0,0.5294117647058824,28.823529411764707,0,17,12.294117647058824,1.6470588235294117,0,16.176470588235293,6.823529411764706,17,0.35294117647058826,0.23529411764705882,m
10,0.0,1.411764705882353,18.058823529411764,0,17,9.647058823529411,0.0,0,0.0,14.117647058823529,17,0.47058823529411764,0.29411764705882354,m
11,0.0,0.8,29.35,0,20,4.7,6.8,0,19.85,1.1,20,0.2,0.1,m
12,0.0,7.5,19.166666666666668,0,18,6.555555555555555,6.222222222222222,0,0.0,5.055555555555555,18,0.5555555555555556,0.2777777777777778,m
Mon,0.009433962264150943,6.509433962264151,22.50943396226415,0,106,8.69811320754717,2.5283018867924527,0,4.584905660377358,6.1415094339622645,106,0.33962264150943394,0.19811320754716982,d
Tue,0.0,0.0,3.0,0,1,0.0,0.0,0,0.0,4.0,1,0.0,0.0,d
Wed,0.0,0.0,1.0,0,2,0.0,23.0,0,1.0,-8.0,2,0.0,0.0,d
Thu,0.0,1.8888888888888888,13.0,0,9,9.88888888888889,1.3333333333333333,0,0.0,7.444444444444445,9,0.2222222222222222,0.1111111111111111,d
Fri,0.0,3.0288461538461537,21.509615384615383,0,104,9.701923076923077,2.3076923076923075,0,3.6826923076923075,7.673076923076923,104,0.34615384615384615,0.23076923076923078,d
Sun,0.1111111111111111,9.0,6.777777777777778,0,9,0.0,4.555555555555555,0,0.0,-1.1111111111111112,9,0.2222222222222222,0.0,d
