Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.009533468559837728,2.4919371196754563,8.033772819472617,0.0014705882352941176,19720,4.92342799188641,1.7496450304259634,0.03671399594320487,0.2231237322515213,5.969169920389432,19721,0.17373225152129818,0.1951219512195122,y
2016,0.01130231137358721,1.968791365441401,7.941451990632318,0.0014764280623154465,19642,4.825221464209347,2.458914570817636,0.014662457998167193,0.2735973933408003,5.038743508807657,19642,0.16439262804195093,0.18241523266469808,y
2017,0.011893343564166508,2.0440725110301172,9.724726644926147,0.0010070976405140994,20852,5.636150009591406,3.179071551889507,0.01889507001726453,0.16017648187224248,6.846268227168074,20848,0.18583349319010167,0.20347275518035304,y
2018,0.007425160956811881,2.1982705954227173,7.630668734433009,0.0015978194464025565,21279,4.395977254570234,2.1413130316274263,0.026927957140843086,0.14291085107382867,4.719321332894675,21277,0.16396447201466235,0.1895473985994266,y
2019,0.014685067232837934,2.2816702052370843,7.5235757254069355,0.0015038924274593064,22608,4.288747346072187,2.136721514508139,0.0024769992922859165,0.2650389242745931,3.662716136735506,22613,0.15507784854918613,0.18166541370008402,y
1,0.014979029358897543,2.0370281605751948,8.363331336129418,0.0004793289394847214,8345,5.104014379868184,2.7171959257040146,0.026243259436788496,0.281725584182145,4.560230133045667,8343,0.1768723786698622,0.19441447920412322,m
2,0.017997600319957337,2.1133182242367683,7.639248100253299,0.0009332089054792694,7501,4.693240901213172,2.0033328889481403,0.0,0.309292094387415,4.54604824736772,7503,0.16851086521797093,0.1916566706650673,m
3,0.012481997119539127,2.088574171867499,8.347455592894864,0.0010801728276524244,8332,4.974195871339414,2.4915986557849257,0.0,0.10465674507921267,5.293446951512242,8332,0.17054728756601056,0.1869899183869419,m
4,0.00946521533364884,1.849976336961666,6.931850449597729,0.0015380974917179365,8452,4.432560340747752,2.2568622811168955,0.021415049692380502,0.1496687174633223,4.523882714589737,8458,0.15735920492191197,0.18243083471269803,m
5,0.009923068346526925,2.512097223770766,9.708551678002006,0.0010034563496487902,8969,5.185081948935221,2.612108373285762,0.021518563942468504,0.4573531051399264,6.9286431040249745,8969,0.18474746348533838,0.205708551678002,m
6,0.009365006852444038,2.405207857469164,9.381110095934217,0.0023983554134307905,8756,5.77878026496117,1.9671082686158063,0.0,0.17930561900411146,9.214236745886655,8752,0.18912745545911375,0.23434643510054845,m
7,0.01270619705751226,2.337717342844405,8.859674543022738,0.0027864467231386537,8972,5.594516272848863,2.2419750334373605,0.022737405260811413,0.16094516272848863,8.307812325866488,8973,0.17699509585376727,0.21843307700880418,m
8,0.011282273812106747,2.341288782816229,9.832718594055109,0.0028205684530266868,9218,5.382946409199392,3.2216315903666737,0.06595790844000868,0.25894988066825775,6.766995554591781,9223,0.18604903449772184,0.20362138132928548,m
9,0.010700056915196357,2.3463858850313035,5.558907228229938,0.0011383039271485487,8785,3.357768924302789,1.7033579965850882,0.04143426294820717,0.14900398406374502,0.8483779169038134,8785,0.12430278884462151,0.13420603301081388,m
10,0.007901668129938543,1.79126426690079,6.395302897278314,0.0010974539069359087,9112,3.7610842844600527,2.15342405618964,0.004280070237050044,0.26009657594381036,2.8476901130253482,9113,0.14255926251097453,0.15834522111269614,m
11,0.004466842286106975,1.523078685144886,6.250028633604398,0.0006872065055549192,8731,3.7771160233650214,1.988661092658344,0.01523307753980071,0.04730271446569694,1.7635259055479138,8724,0.1456877791776429,0.15715268225584594,m
12,0.01232078853046595,2.9712141577060933,10.461805555555555,0.0007840501792114696,8928,5.54693100358423,2.5776209677419355,0.010528673835125449,0.1953405017921147,6.677347075957876,8926,0.19657258064516128,0.21577414295317052,m
Mon,0.010180560891279293,2.525291330516071,9.093289793827635,0.0016647458061211423,15618,4.9867460622358815,2.551351005250352,0.029773338455628122,0.18798821872198745,5.117805409562877,15602,0.17575873991548213,0.19253941802333036,d
Tue,0.01091901728844404,1.990965813076823,6.557844793968543,0.0014298713115819576,15386,3.895034446899779,2.036331730144287,0.02281294683478487,0.11250487456128948,2.91798786455275,15327,0.14727674509294164,0.1635675605141254,d
Wed,0.011791530944625407,1.9766775244299675,7.222931596091205,0.0011726384364820848,15350,4.170553745928339,2.365472312703583,0.033876221498371335,0.21530944625407167,4.017976507236031,15409,0.15596091205211726,0.1724316957622169,d
Thu,0.012352032938754504,2.09547092125579,9.489963973237263,0.0011580030880082347,15544,5.576170869788986,2.5849845599588264,0.016919711785898097,0.27766340710241894,7.281083509853008,15579,0.19222851260936696,0.21490467937608318,d
Fri,0.011636828644501279,2.5328005115089516,9.976918158567775,0.0013427109974424552,15640,5.853644501278772,2.639514066496164,0.007608695652173913,0.29705882352941176,7.444103547459252,15645,0.19066496163682864,0.216618728028124,d
Sat,0.00933290050316507,2.0299464372666773,5.78355786398312,0.0012984905047881837,12322,3.733322512579127,1.7147378672293458,0.0039766271709138126,0.1854406752150625,3.060170743720243,12182,0.13431261158902774,0.1633557708093909,d
Sun,0.010603187978372305,2.1896636472157853,8.500245769257777,0.0018257144863422512,14241,5.184678042272313,2.3090372867073943,0.018818903166912437,0.205603539077312,6.198997004945323,14357,0.1751983709009199,0.20331545587518285,d
