Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2018,0.036036036036036036,12.63963963963964,26.63963963963964,0,111,8.432432432432432,0.7207207207207207,0,5.936936936936937,5.845454545454546,110,0.35135135135135137,0.2909090909090909,y
2019,0.00980392156862745,4.107843137254902,14.558823529411764,0,102,10.127450980392156,1.6274509803921569,0,2.2745098039215685,7.480392156862745,102,0.27450980392156865,0.23529411764705882,y
1,0.15,3.9,17.35,0,20,7.2,0.9,0,8.05,2.85,20,0.25,0.25,m
2,0.0,54.0625,96.125,0,16,8.0625,1.25,0,34.8125,7.375,16,0.4375,0.4375,m
3,0.0,1.5263157894736843,4.0,0,19,1.736842105263158,0.3684210526315789,0,2.4210526315789473,-2.5789473684210527,19,0.21052631578947367,0.10526315789473684,m
4,0.0,0.9444444444444444,12.222222222222221,0,18,11.666666666666666,0.3888888888888889,0,0.0,13.222222222222221,18,0.4444444444444444,0.5,m
5,0.0,5.842105263157895,29.42105263157895,0,19,21.57894736842105,0.5789473684210527,0,0.0,26.526315789473685,19,0.3684210526315789,0.3684210526315789,m
6,0.047619047619047616,0.23809523809523808,3.5238095238095237,0,21,1.8571428571428572,6.285714285714286,0,1.9523809523809523,-3.1904761904761907,21,0.19047619047619047,0.09523809523809523,m
7,0.0,1.0454545454545454,4.2727272727272725,0,22,7.7727272727272725,0.045454545454545456,0,0.0,2.090909090909091,22,0.2727272727272727,0.22727272727272727,m
8,0.0,0.9090909090909091,39.09090909090909,0,11,36.0,0.0,0,0.0,35.63636363636363,11,0.5454545454545454,0.45454545454545453,m
9,0.1111111111111111,3.2222222222222223,9.11111111111111,0,9,0.0,0.0,0,8.444444444444445,-9.625,8,0.2222222222222222,0.125,m
10,0.0,22.0,21.0,0,21,1.1904761904761905,0.0,0,0.0,-3.142857142857143,21,0.14285714285714285,0.047619047619047616,m
11,0.0,5.055555555555555,17.5,0,18,14.333333333333334,0.2222222222222222,0,0.0,11.5,18,0.4444444444444444,0.3888888888888889,m
12,0.0,5.368421052631579,14.0,0,19,8.105263157894736,2.4210526315789473,0,0.5263157894736842,5.421052631578948,19,0.3684210526315789,0.2631578947368421,m
Mon,0.010526315789473684,10.905263157894737,20.736842105263158,0,95,10.905263157894737,0.29473684210526313,0,0.4842105263157895,8.48421052631579,95,0.29473684210526313,0.28421052631578947,d
Tue,0.0,0.0,-7.0,0,1,0.0,0.0,0,0.0,-18.0,1,0.0,0.0,d
Wed,0.05263157894736842,20.36842105263158,29.789473684210527,0,19,6.947368421052632,8.578947368421053,0,2.1578947368421053,1.368421052631579,19,0.3157894736842105,0.10526315789473684,d
Fri,0.02127659574468085,3.9361702127659575,19.76595744680851,0,94,8.308510638297872,0.5851063829787234,0,8.553191489361701,6.127659574468085,94,0.32978723404255317,0.2765957446808511,d
Sat,0.5,14.5,19.0,0,2,0.0,0.0,0,0.0,0.0,1,0.5,0.0,d
Sun,0.0,0.0,8.5,0,2,10.0,0.0,0,0.0,8.0,2,0.5,0.5,d
