Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2019,0.019088669950738917,3.165024630541872,10.739532019704434,0.0012315270935960591,1624,4.7838669950738915,8.720443349753694,0.0012315270935960591,0.3479064039408867,3.2330873308733086,1626,0.16933497536945813,0.16297662976629768,y
3,0.0,0.0,-1.5,0.0,4,0.0,0.0,0.0,0.0,-14.5,6,0.0,0.0,m
4,0.005714285714285714,2.52,7.782857142857143,0.0,175,6.771428571428571,2.5828571428571427,0.0,0.0,-1.6914285714285715,175,0.12571428571428572,0.08,m
5,0.02197802197802198,6.653846153846154,14.87912087912088,0.0,182,2.9285714285714284,13.0,0.01098901098901099,0.0,-5.351648351648351,182,0.14835164835164835,0.07142857142857142,m
6,0.0,0.055865921787709494,1.1843575418994414,0.0,179,3.452513966480447,4.217877094972067,0.0,0.27932960893854747,4.70391061452514,179,0.12849162011173185,0.20670391061452514,m
7,0.0,3.233695652173913,6.342391304347826,0.0,184,3.8260869565217392,4.538043478260869,0.0,0.11956521739130435,5.695652173913044,184,0.1358695652173913,0.20108695652173914,m
8,0.0,7.301075268817204,11.60752688172043,0.010752688172043012,186,4.553763440860215,4.231182795698925,0.0,0.0,7.688172043010753,186,0.1881720430107527,0.1989247311827957,m
9,0.06111111111111111,0.03333333333333333,20.072222222222223,0.0,180,3.216666666666667,24.711111111111112,0.0,0.0,0.022222222222222223,180,0.18333333333333332,0.12222222222222222,m
10,0.0,0.3611111111111111,-0.4222222222222222,0.0,180,3.661111111111111,2.338888888888889,0.0,0.0,3.061111111111111,180,0.1,0.18888888888888888,m
11,0.028735632183908046,1.3793103448275863,4.304597701149425,0.0,174,2.6149425287356323,5.436781609195402,0.0,1.3793103448275863,-1.5862068965517242,174,0.1839080459770115,0.14942528735632185,m
12,0.05555555555555555,6.7444444444444445,30.85,0.0,180,12.161111111111111,17.511111111111113,0.0,1.4055555555555554,16.75,180,0.3333333333333333,0.25,m
Mon,0.029166666666666667,4.345833333333333,14.7375,0.0,240,6.25,8.225,0.0,0.8416666666666667,5.141666666666667,240,0.19583333333333333,0.1875,d
Tue,0.02553191489361702,1.0936170212765957,4.876595744680851,0.00425531914893617,235,2.7574468085106383,7.187234042553191,0.0,0.0,1.5617021276595744,235,0.14042553191489363,0.17872340425531916,d
Wed,0.02145922746781116,5.7296137339055795,12.042918454935622,0.0,233,3.218884120171674,8.969957081545065,0.008583690987124463,0.0,2.369098712446352,233,0.16738197424892703,0.14163090128755365,d
Thu,0.00881057268722467,2.0088105726872247,13.82819383259912,0.004405286343612335,227,6.47136563876652,10.982378854625551,0.0,0.16740088105726872,7.4493392070484585,227,0.19823788546255505,0.19823788546255505,d
Fri,0.004329004329004329,3.7142857142857144,11.887445887445887,0.0,231,5.220779220779221,10.051948051948052,0.0,0.3116883116883117,4.3130434782608695,230,0.17316017316017315,0.16521739130434782,d
Sat,0.01818181818181818,3.35,9.145454545454545,0.0,220,4.072727272727272,9.363636363636363,0.0,0.0,-0.4343891402714932,221,0.15454545454545454,0.11764705882352941,d
Sun,0.025210084033613446,1.9075630252100841,8.634453781512605,0.0,238,5.46218487394958,6.445378151260504,0.0,1.0630252100840336,2.154166666666667,240,0.15546218487394958,0.15,d
