Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.0028129395218002813,3.509142053445851,-1.751054852320675,0.0,711,1.2869198312236287,1.3136427566807314,0,0.7454289732770746,-0.7918424753867792,711,0.04360056258790436,0.07876230661040788,y
2016,0.0064794816414686825,1.3142548596112311,-1.011879049676026,0.0010799136069114472,926,4.072354211663067,1.4168466522678185,0,0.20626349892008639,-0.061621621621621624,925,0.06371490280777538,0.08648648648648649,y
2017,0.0050916496945010185,2.2525458248472505,1.2525458248472505,0.0010183299389002036,982,3.2331975560081467,2.184317718940937,0,0.024439918533604887,0.08859470468431772,982,0.07230142566191446,0.09979633401221996,y
2018,0.000792393026941363,0.722662440570523,-2.386687797147385,0.003169572107765452,1262,2.8161648177496037,1.3335974643423139,0,0.5816164817749604,-3.037242472266244,1262,0.059429477020602216,0.09904912836767037,y
2019,0.0,0.926605504587156,0.17889908256880735,0.0009174311926605505,1090,4.255963302752294,0.5467889908256881,0,0.43302752293577984,-7.194495412844037,1090,0.08623853211009175,0.0798165137614679,y
1,0.018518518518518517,5.248677248677248,9.03968253968254,0.0026455026455026454,378,3.9788359788359786,2.4708994708994707,0,1.5132275132275133,3.9497354497354498,378,0.09259259259259259,0.14285714285714285,m
2,0.0,2.690265486725664,2.976401179941003,0.0,339,6.017699115044247,2.3156342182890857,0,0.22123893805309736,3.896755162241888,339,0.10619469026548672,0.14454277286135694,m
3,0.0,0.0045662100456621,-4.3561643835616435,0.00228310502283105,438,2.732876712328767,1.1689497716894977,0,0.0,-2.458904109589041,438,0.04337899543378995,0.07990867579908675,m
4,0.0,0.3049645390070922,-5.028368794326241,0.0,423,2.023640661938534,1.0236406619385343,0,0.0,-5.321513002364066,423,0.04491725768321513,0.05673758865248227,m
5,0.002304147465437788,1.9400921658986174,-3.5599078341013826,0.002304147465437788,434,1.3248847926267282,1.2235023041474655,0,0.0,-5.571428571428571,434,0.04608294930875576,0.059907834101382486,m
6,0.0,1.3413461538461537,-4.673076923076923,0.002403846153846154,416,1.4423076923076923,0.6971153846153846,0,0.04567307692307692,-6.0673076923076925,416,0.036057692307692304,0.052884615384615384,m
7,0.0024330900243309003,2.051094890510949,-0.5182481751824818,0.0,411,3.5498783454987834,0.6009732360097324,0,0.0,-3.846715328467153,411,0.058394160583941604,0.0827250608272506,m
8,0.0,0.8456375838926175,-3.0738255033557045,0.0,447,2.5145413870246087,0.2662192393736018,0,0.0,-4.4787472035794185,447,0.05145413870246085,0.09395973154362416,m
9,0.0,0.3108108108108108,-3.527027027027027,0.0,444,1.8468468468468469,0.7162162162162162,0,1.4009009009009008,-7.297297297297297,444,0.04279279279279279,0.04954954954954955,m
10,0.0,1.3099547511312217,-3.3122171945701355,0.0,442,1.8529411764705883,0.5067873303167421,0,0.10633484162895927,-5.230769230769231,442,0.04524886877828054,0.058823529411764705,m
11,0.0,2.3206106870229006,1.147582697201018,0.002544529262086514,393,4.353689567430026,1.4274809160305344,0,0.04834605597964377,-2.475826972010178,393,0.0737913486005089,0.089058524173028,m
12,0.012315270935960592,1.4014778325123152,8.608374384236454,0.0049261083743842365,406,8.248768472906404,4.226600985221675,0,1.4704433497536946,8.28641975308642,405,0.1748768472906404,0.19012345679012346,m
Mon,0.005326231691078562,0.5952063914780293,-2.0053262316910785,0.0,751,3.3462050599201065,1.9533954727030627,0,0.13315579227696406,-2.062583222370173,751,0.06524633821571238,0.09320905459387484,d
Tue,0.0013280212483399733,2.909694555112882,-0.24833997343957503,0.0013280212483399733,753,2.8379814077025234,0.9601593625498008,0,0.6334661354581673,-3.945478723404255,752,0.07569721115537849,0.07579787234042554,d
Wed,0.0,1.1063829787234043,-0.7606382978723404,0.0,752,4.449468085106383,1.6648936170212767,0,0.1422872340425532,-2.984042553191489,752,0.06382978723404255,0.09042553191489362,d
Thu,0.0,0.9893899204244032,1.0477453580901857,0.005305039787798408,754,3.2427055702917773,1.3501326259946949,0,0.5225464190981433,-2.462151394422311,753,0.0649867374005305,0.0903054448871182,d
Fri,0.003968253968253968,1.2804232804232805,-0.4642857142857143,0.0,756,3.6455026455026456,1.1957671957671958,0,1.0224867724867726,-2.239101717305152,757,0.0701058201058201,0.0964332892998679,d
Sat,0.0018484288354898336,2.1035120147874307,-2.613678373382625,0.0,541,1.3401109057301295,0.6987060998151571,0,0.12014787430683918,-2.107806691449814,538,0.05545286506469501,0.07806691449814127,d
Sun,0.007530120481927711,2.2951807228915664,-0.7966867469879518,0.0030120481927710845,664,3.210843373493976,1.3975903614457832,0,0.05271084337349398,-1.1469265367316341,667,0.06626506024096386,0.10194902548725637,d
