Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.015972618368511125,2.3937535653166,7.102538505419282,0.0034227039361095267,7012,4.851397604107245,2.0282373074729034,0.004563605248146035,0.6802624073017683,4.941814033086138,7012,0.153593839132915,0.17969195664575013,y
2016,0.009370816599732263,2.180722891566265,5.036479250334672,0.0033467202141900937,5976,4.252844712182061,1.6701807228915662,0.00535475234270415,0.2799531459170013,2.7030648132641097,5971,0.12198795180722892,0.14721152235806398,y
2017,0.01791101055806938,2.364819004524887,5.0953996983408745,0.0011312217194570137,5304,3.9076168929110104,1.9119532428355959,0.0,0.3914027149321267,2.724410933081998,5305,0.1287707390648567,0.16154571159283695,y
2018,0.017653258387493414,2.3821359564377307,6.359125241524679,0.005006147900930968,11386,4.760144036536097,2.5412787633936413,0.04004918320744774,0.4820832601440365,4.243940990516333,11388,0.14263130159845425,0.17079381805409202,y
2019,0.01808088818398097,2.7111022997620937,8.454956383822363,0.003965107057890563,12610,5.356225218080888,3.148295003965107,0.008009516256938937,0.6288659793814433,6.702355460385439,12609,0.156304520222046,0.19470219684352447,y
1,0.020100502512562814,2.1623743718592965,4.572550251256281,0.001256281407035176,3184,4.381281407035176,1.8335427135678393,0.010050251256281407,0.30590452261306533,3.7461465869770367,3179,0.12814070351758794,0.16640452972632905,m
2,0.026689774696707105,1.7618717504332755,7.179549393414211,0.0013864818024263432,2885,5.909532062391681,1.7868284228769498,0.011091854419410746,1.0374350086655113,4.870710571923744,2885,0.1417677642980936,0.1708838821490468,m
3,0.010395610742131101,3.0955818654345943,5.8853595148714986,0.0020213687554143807,3463,4.512850129945134,1.2434305515449033,0.11868322263933007,0.19145249783424775,3.3126443418013856,3464,0.1256136298007508,0.14867205542725173,m
4,0.021496130696474634,3.0326741186586412,6.308971051877329,0.004299226139294927,3489,4.497850386930352,1.9257666953281742,0.01060475781026082,0.6314130123244482,4.361811926605505,3488,0.13843508168529664,0.17001146788990826,m
5,0.01566871852266368,4.08282036933408,8.88164521544488,0.005595970900951315,3574,4.292389479574706,2.592053721320649,0.005036373810856184,1.031617235590375,4.956047032474804,3572,0.15920537213206493,0.18729003359462487,m
6,0.02146865089046109,2.886557696999268,11.92534764576726,0.005367162722615272,4099,6.936325933154428,4.164918272749451,0.009758477677482313,0.8536228348377654,10.09,4100,0.19931690656257625,0.2326829268292683,m
7,0.013204432916764914,1.6894600330110823,8.454373968403678,0.0061306295684979955,4241,5.491865126149493,3.2888469700542324,0.0025937278943645365,0.5060127328460269,7.088207547169811,4240,0.17613770337184625,0.2125,m
8,0.017051153460381142,2.929287863590772,8.502006018054162,0.0050150451354062184,3988,5.37111334002006,3.29012036108325,0.0,0.4704112337011033,6.671432154502132,3987,0.16349047141424272,0.199899673940306,m
9,0.013641755634638196,1.0097864768683273,2.6559905100830368,0.003262158956109134,3372,3.0833333333333335,2.8155397390272836,0.0,0.09163701067615658,0.47433995846929694,3371,0.09875444839857651,0.1251854049243548,m
10,0.020833333333333332,1.5123239436619718,3.823650234741784,0.002640845070422535,3408,3.981807511737089,1.8843896713615023,0.0014671361502347417,0.159037558685446,2.27787558685446,3408,0.10944835680751173,0.13556338028169015,m
11,0.002495321272613849,2.440736119775421,3.747348721147848,0.0018714909544603868,3206,3.467248908296943,1.3125389893948847,0.0031191515907673115,0.25233936369307547,0.8783910196445276,3207,0.11010605115408609,0.1322107888992828,m
12,0.013909440662918023,2.5883397454868304,7.072210713228766,0.0038472920982539215,3379,4.7389760284107725,2.199467298017165,0.00739863865048831,0.662030186445694,5.180555555555555,3384,0.14945250073986385,0.1882387706855792,m
Mon,0.016619577862722286,2.1444241316270567,6.678244972577697,0.0029915240152900116,6017,4.699351836463354,2.7663287352501245,0.00232674090078112,0.21455875020774473,4.772189841798501,6005,0.14625228519195613,0.17552039966694422,d
Tue,0.01540264523689938,2.3115687259333666,6.817177297840281,0.004352921479993303,5973,4.652770801942073,2.4883643060438643,0.06880964339527876,0.6693453875774318,4.181482103848093,5951,0.14080026787209107,0.16736682910435222,d
Wed,0.021530698065601345,1.855340622371741,6.753574432296047,0.0031959629941127,5945,5.196131202691337,2.6617325483599665,0.001682085786375105,0.5169049621530698,4.242627345844504,5968,0.14617325483599664,0.1742627345844504,d
Thu,0.016746808157851102,2.606035483336097,6.891726081910131,0.00414524954402255,6031,4.800198971978113,2.4375725418670204,0.010611838832697729,0.36577681976454984,6.341948310139165,6036,0.14541535400431105,0.18986083499005965,d
Fri,0.013558201058201057,2.8336640211640214,8.048776455026456,0.003968253968253968,6048,5.460482804232805,2.172123015873016,0.0016534391534391533,0.830026455026455,7.026263627353815,6054,0.15228174603174602,0.19705979517674266,d
Sat,0.015364916773367477,2.5532970550576186,5.401248399487836,0.0035211267605633804,6248,3.8634763124199742,2.24151728553137,0.004481434058898848,0.5825864276568502,2.580794385069389,6269,0.1354033290653009,0.15201786568830755,d
Sun,0.015433123133089944,2.841354132094258,6.788416860272154,0.003816793893129771,6026,4.783936276136741,2.290740126120146,0.013939595087952207,0.44971788914702954,3.7034321892702433,6002,0.14105542648523067,0.16894368543818727,d
