Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2018,0.00423728813559322,6.093220338983051,9.90677966101695,0.0,236,5.572033898305085,3.7796610169491527,0.0,1.2118644067796611,5.181434599156118,237,0.13983050847457626,0.14767932489451477,y
2019,0.016282225237449117,7.062415196743555,14.139755766621438,0.0013568521031207597,737,5.2727272727272725,4.592944369063772,0.021709633649932156,0.9362279511533242,3.903663500678426,737,0.22116689280868385,0.19538670284938942,y
1,0.0,0.967741935483871,-3.5806451612903225,0.0,62,1.6451612903225807,2.5161290322580645,0.0,0.0,-5.032258064516129,62,0.11290322580645161,0.1774193548387097,m
2,0.08928571428571429,0.6428571428571429,7.25,0.0,56,7.428571428571429,3.75,0.0,0.0,0.8928571428571429,56,0.16071428571428573,0.14285714285714285,m
3,0.03225806451612903,2.9516129032258065,2.806451612903226,0.0,62,3.161290322580645,0.6935483870967742,0.0,0.9193548387096774,-1.9193548387096775,62,0.0967741935483871,0.14516129032258066,m
4,0.0,0.8333333333333334,0.36666666666666664,0.0,60,5.366666666666666,2.3833333333333333,0.0,0.0,-7.816666666666666,60,0.05,0.08333333333333333,m
5,0.0,2.935483870967742,5.032258064516129,0.0,62,0.6129032258064516,4.17741935483871,0.0,1.3064516129032258,-13.129032258064516,62,0.1774193548387097,0.06451612903225806,m
6,0.016666666666666666,15.8,28.4,0.0,60,8.85,7.1,0.0,0.0,22.5,60,0.4166666666666667,0.36666666666666664,m
7,0.016129032258064516,10.96774193548387,22.112903225806452,0.016129032258064516,62,7.290322580645161,5.290322580645161,0.0,0.41935483870967744,7.370967741935484,62,0.2903225806451613,0.24193548387096775,m
8,0.0,6.6716417910447765,14.0,0.0,67,3.029850746268657,6.2388059701492535,0.23880597014925373,0.4626865671641791,10.544117647058824,68,0.3283582089552239,0.23529411764705882,m
9,0.0,19.156521739130437,25.26086956521739,0.0,115,6.460869565217391,3.0869565217391304,0.0,0.16521739130434782,6.930434782608696,115,0.2782608695652174,0.16521739130434782,m
10,0.008333333333333333,6.5,14.658333333333333,0.0,120,6.916666666666667,3.441666666666667,0.0,2.9916666666666667,5.008333333333334,120,0.18333333333333332,0.175,m
11,0.00847457627118644,1.9067796610169492,10.686440677966102,0.0,118,3.9915254237288136,8.754237288135593,0.0,0.3813559322033898,6.4576271186440675,118,0.1271186440677966,0.19491525423728814,m
12,0.015503875968992248,6.5813953488372094,16.503875968992247,0.0,129,6.953488372093023,3.8217054263565893,0.0,2.7751937984496124,8.410852713178295,129,0.20155038759689922,0.20155038759689922,m
Mon,0.014184397163120567,5.404255319148936,16.02836879432624,0.0070921985815602835,141,6.971631205673759,2.6808510638297873,0.0,2.078014184397163,5.085106382978723,141,0.24822695035460993,0.19858156028368795,d
Tue,0.014184397163120567,2.1914893617021276,3.404255319148936,0.0,141,2.0567375886524824,4.397163120567376,0.11347517730496454,0.3191489361702128,-1.6453900709219857,141,0.16312056737588654,0.1276595744680851,d
Wed,0.014285714285714285,11.485714285714286,12.992857142857142,0.0,140,5.15,3.1,0.0,0.0,-0.6595744680851063,141,0.14285714285714285,0.16312056737588654,d
Thu,0.02857142857142857,2.4285714285714284,8.65,0.0,140,3.807142857142857,2.5214285714285714,0.0,3.3642857142857143,6.114285714285714,140,0.19285714285714287,0.19285714285714287,d
Fri,0.014285714285714285,11.42142857142857,26.035714285714285,0.0,140,7.978571428571429,11.064285714285715,0.0,0.40714285714285714,8.628571428571428,140,0.25,0.2,d
Sat,0.0,10.705426356589147,13.310077519379846,0.0,129,4.232558139534884,2.643410852713178,0.0,0.7054263565891473,3.798449612403101,129,0.18604651162790697,0.20930232558139536,d
Sun,0.007042253521126761,4.535211267605634,11.45774647887324,0.0,142,7.119718309859155,4.23943661971831,0.0,0.13380281690140844,8.161971830985916,142,0.22535211267605634,0.19718309859154928,d
