Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.015151515151515152,1.3663911845730028,4.622589531680441,0.004132231404958678,726,8.929752066115702,1.1680440771349863,0.2878787878787879,0.24793388429752067,7.3292011019283745,726,0.18181818181818182,0.19834710743801653,y
2016,0.012362637362637362,0.6002747252747253,-5.847527472527473,0.0013736263736263737,728,4.688186813186813,0.5068681318681318,0.0260989010989011,0.11813186813186813,-0.11538461538461539,728,0.1043956043956044,0.1401098901098901,y
2017,0.01928374655647383,0.7865013774104683,-2.4696969696969697,0.004132231404958678,726,6.137741046831956,0.8292011019283747,0.08677685950413223,0.11983471074380166,3.038567493112948,726,0.10881542699724518,0.1763085399449036,y
2018,0.013812154696132596,0.28591160220994477,-6.766574585635359,0.0013812154696132596,724,4.06353591160221,0.8232044198895028,0.0,0.11740331491712708,-0.9337931034482758,725,0.09530386740331492,0.1406896551724138,y
2019,0.023480662983425413,0.5138121546961326,-0.6919889502762431,0.008287292817679558,724,6.0759668508287294,1.2430939226519337,0.0,0.09392265193370165,4.0220994475138125,724,0.1270718232044199,0.16574585635359115,y
1,0.04838709677419355,0.24838709677419354,-2.393548387096774,0.016129032258064516,310,6.858064516129033,1.0193548387096774,0.0,0.36129032258064514,2.8193548387096774,310,0.1064516129032258,0.15806451612903225,m
2,0.028368794326241134,0.11702127659574468,-6.25886524822695,0.0,282,6.953900709219858,0.8404255319148937,0.0,0.1276595744680851,0.3191489361702128,282,0.13829787234042554,0.17375886524822695,m
3,0.0064516129032258064,0.6161290322580645,-2.196774193548387,0.0032258064516129032,310,8.90967741935484,1.0096774193548388,0.0064516129032258064,0.17419354838709677,5.0,310,0.12258064516129032,0.17419354838709677,m
4,0.013333333333333334,0.056666666666666664,-5.52,0.0,300,4.036666666666667,0.9633333333333334,0.0,0.056666666666666664,0.03333333333333333,300,0.08333333333333333,0.13,m
5,0.0064516129032258064,1.064516129032258,-1.435483870967742,0.0032258064516129032,310,5.135483870967742,0.8935483870967742,0.4064516129032258,0.0,-1.5193548387096774,310,0.0967741935483871,0.12903225806451613,m
6,0.006666666666666667,1.88,-0.7566666666666667,0.0,300,5.316666666666666,1.32,0.12333333333333334,0.0,3.4033333333333333,300,0.13333333333333333,0.14333333333333334,m
7,0.0064516129032258064,0.2870967741935484,-2.990322580645161,0.0,310,3.9741935483870967,0.4096774193548387,0.05806451612903226,0.06774193548387097,1.9903225806451612,310,0.1,0.13870967741935483,m
8,0.016129032258064516,1.2419354838709677,3.903225806451613,0.0,310,7.790322580645161,0.9709677419354839,0.12903225806451613,0.0,7.358064516129033,310,0.17096774193548386,0.2161290322580645,m
9,0.0033333333333333335,0.94,-1.4233333333333333,0.0,300,4.766666666666667,0.62,0.22666666666666666,0.09666666666666666,1.6233333333333333,300,0.11666666666666667,0.13666666666666666,m
10,0.02903225806451613,0.7258064516129032,-3.009677419354839,0.0032258064516129032,310,6.967741935483871,0.8806451612903226,0.0,0.025806451612903226,3.3665594855305465,311,0.14516129032258066,0.17363344051446947,m
11,0.013986013986013986,1.0804195804195804,-3.0839160839160837,0.006993006993006993,286,4.93006993006993,0.7097902097902098,0.0,0.45454545454545453,2.6013986013986012,286,0.1258741258741259,0.15734265734265734,m
12,0.023333333333333334,0.25666666666666665,-2.0633333333333335,0.013333333333333334,300,5.996666666666667,1.3233333333333333,0.0,0.33,4.76,300,0.14333333333333334,0.24,m
Mon,0.026923076923076925,0.55,-3.8019230769230767,0.0057692307692307696,520,5.461538461538462,1.001923076923077,0.1326923076923077,0.05576923076923077,2.0961538461538463,520,0.12307692307692308,0.1519230769230769,d
Tue,0.009615384615384616,0.975,-1.0134615384615384,0.0019230769230769232,520,6.969230769230769,1.0788461538461538,0.14038461538461539,0.14807692307692308,3.3115384615384613,520,0.12692307692307692,0.16153846153846155,d
Wed,0.021235521235521235,1.1235521235521235,-2.646718146718147,0.0019305019305019305,518,4.899613899613899,1.0173745173745175,0.003861003861003861,0.2857142857142857,3.0694980694980694,518,0.11969111969111969,0.16602316602316602,d
Thu,0.017578125,0.525390625,-1.78125,0.001953125,512,5.822265625,1.0,0.09765625,0.1015625,2.5546875,512,0.1171875,0.177734375,d
Fri,0.007751937984496124,0.686046511627907,-1.321705426356589,0.003875968992248062,516,6.8565891472868215,1.0077519379844961,0.11627906976744186,0.0872093023255814,4.162790697674419,516,0.13178294573643412,0.187984496124031,d
Sat,0.009578544061302681,0.5402298850574713,-0.603448275862069,0.007662835249042145,522,6.739463601532567,0.7796934865900383,0.038314176245210725,0.23946360153256704,3.603448275862069,522,0.1417624521072797,0.1781609195402299,d
Sun,0.025,0.575,-4.4423076923076925,0.0038461538461538464,520,5.1038461538461535,0.5134615384615384,0.032692307692307694,0.057692307692307696,-0.11708253358925144,521,0.10384615384615385,0.12667946257197696,d
