Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.010455486542443064,3.993064182194617,7.759730848861284,0.002277432712215321,9660,4.173395445134576,3.3283643892339545,0.02184265010351967,0.08716356107660456,4.031777248732015,9661,0.16428571428571428,0.1737915329676017,y
2016,0.014412086273730246,5.225921876553026,9.580161017791472,0.0017890865719113408,10061,4.4649637213000695,4.319153165689295,0.0028824172547460493,0.16608687009243614,3.0600158982511925,10064,0.16042142928138356,0.16176470588235295,y
2017,0.009335649153278332,5.135149804602692,9.801128962223187,0.0022796352583586625,9212,4.611593573599652,4.413482414242293,0.005536257056013895,0.19257490230134608,4.88622299424601,9211,0.16369952236213633,0.19183584844208013,y
2018,0.008098691025520294,3.5555137018551655,6.781994538092099,0.0031076372539787173,10619,3.5742536962049156,4.0803277144740555,0.009605424239570582,0.5818815331010453,3.067514124293785,10620,0.15331010452961671,0.17099811676082863,y
2019,0.017331589274035317,4.259892086330935,10.35668737737083,0.004823413996075866,12232,5.475228907782864,4.103826030085023,0.00302485284499673,0.41603989535644215,5.9255128622598505,12284,0.17691301504251145,0.19716704656463693,y
1,0.021347688880638576,4.074995359198069,11.040096528680156,0.0020419528494523853,5387,5.702246148134398,4.608316317059588,0.017635047336179693,0.5429738258771115,4.827637444279346,5384,0.18823092630406535,0.1961367013372957,m
2,0.01756007393715342,4.143068391866914,11.903512014787431,0.0018484288354898336,5410,6.065064695009242,4.131792975970425,0.007024029574861368,0.44269870609981515,7.58710511731018,5413,0.19426987060998152,0.21854794014409754,m
3,0.012969179127250534,4.685688129386634,11.16249618553555,0.0028989929813854134,6554,5.004729935916997,3.9069270674397316,0.013579493439121147,0.15837656393042418,4.963725041914342,6561,0.18172108635947512,0.19112940100594422,m
4,0.010932816081819785,3.1426556162934225,6.358666901780991,0.003879386351613472,5671,3.8062070181625813,3.3703050608358316,0.00405572209486863,0.3038264856286369,1.1285941083083437,5669,0.1445953094692294,0.14270594461104252,m
5,0.005919962112242482,4.5143263083116265,8.490172862893678,0.0033151787828557895,4223,4.0743547241297655,5.1664693345962585,0.0004735969689793985,0.10774331044281317,3.315739644970414,4225,0.1591285815770779,0.1668639053254438,m
6,0.0096051227321238,5.897545357524013,9.017787264318748,0.0021344717182497333,2811,4.2810387762362145,3.5407328352899325,0.0,0.5538954108858057,7.142195295794726,2806,0.14941302027748132,0.18888096935138987,m
7,0.010642201834862385,5.846238532110092,7.852844036697248,0.004036697247706422,2725,3.827155963302752,3.0741284403669726,0.0,0.15743119266055045,8.073000733675716,2726,0.1614678899082569,0.20616287600880412,m
8,0.005076142131979695,6.778825235678028,11.398477157360405,0.002175489485134155,2758,4.622552574329224,4.828498912255258,0.0,0.2512690355329949,7.919506889050036,2758,0.18636693255982595,0.2092095721537346,m
9,0.006291506466270535,2.962250961202377,2.3610625655365256,0.01083537224746592,2861,2.3607130373995107,2.861586857742048,0.007689619014330654,0.08808109052778748,0.8406498444521259,2893,0.10660608178958406,0.13307984790874525,m
10,0.0075461878740567265,4.341139734582358,6.618266978922716,0.0018214936247723133,3843,3.6148842050481393,4.034087952120739,0.0039032006245121,0.14337756960707781,2.5760332726800104,3847,0.1444184231069477,0.16402391473875746,m
11,0.007583965330444204,4.1750812567713975,6.729360780065005,0.0010834236186348862,4615,2.8663055254604553,4.230769230769231,0.02838569880823402,0.4143011917659805,0.0473923393204934,4621,0.14084507042253522,0.14910192599004546,m
12,0.0194884287454324,4.207470564352416,10.142103126268777,0.002233049127080796,4926,5.77324401136825,4.306536743808364,0.0030450669914738123,0.32988225740966304,4.787117682803322,4937,0.17641088103938288,0.18857605833502128,m
Mon,0.013059701492537313,4.863006396588486,11.13459488272921,0.003598081023454158,7504,5.283049040511727,4.441764392324094,0.004397654584221748,0.49307036247334757,5.586534600455093,7471,0.17803837953091683,0.19970552804176148,d
Tue,0.010126943374696905,4.1821423477392665,7.65154756810726,0.002282128084438739,7011,3.6367137355584083,3.784338896020539,0.002139495079161318,0.3417486806447012,2.3124190531011655,6949,0.15390101269433748,0.16218160886458483,d
Wed,0.011544417851611996,5.249049697310995,9.166126988596368,0.0032380684217936085,7103,3.9367872729832465,4.317049134168661,0.0021117837533436577,0.11375475151344502,3.210247841826789,7182,0.1576798535829931,0.1677805625174046,d
Thu,0.013161428955143701,4.452726295997851,9.697287134031695,0.0033575073865162505,7446,4.78109051839914,4.598039215686274,0.02968036529680365,0.3270212194466828,5.654088050314465,7473,0.17136717700778942,0.1918908069048575,d
Fri,0.01285449244632918,4.383116883116883,10.196262920752716,0.0034455340577789558,7546,5.495759342698118,4.501987808110257,0.008746355685131196,0.17784256559766765,6.454027556968733,7548,0.1790352504638219,0.20111287758346583,d
Sat,0.011769426240470776,4.001872408720075,6.355356426374215,0.0026748696001069948,7477,3.815701484552628,2.875351076635014,0.003611073960144443,0.30881369533235253,1.5903630539241858,7492,0.14457670188578306,0.1490923651895355,d
Sun,0.012472391840977004,3.776796154345849,7.972196959854489,0.0020787319734961673,7697,4.409770040275432,3.8399376380407952,0.0068857996622060545,0.33324671950110435,4.70873786407767,7725,0.16344030141613616,0.1836893203883495,d
