Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2018,0.008915304606240713,5.279346210995542,9.86032689450223,0.0014858841010401188,673,7.991084695393759,2.361069836552749,0.02674591381872214,0.6240713224368499,-3.2689450222882614,673,0.19465081723625557,0.1337295690936107,y
2019,0.0053404539385847796,6.089452603471295,10.373831775700934,0.0026702269692923898,749,6.995994659546062,2.3337783711615487,0.04138851802403204,0.7449933244325768,0.32176234979973295,749,0.22029372496662217,0.1588785046728972,y
1,0.0,20.556701030927837,26.8659793814433,0.0,97,4.865979381443299,4.546391752577319,0.18556701030927836,0.7216494845360825,-1.2783505154639174,97,0.27835051546391754,0.17525773195876287,m
2,0.02912621359223301,2.2135922330097086,4.611650485436893,0.0,103,6.203883495145631,6.466019417475728,0.0,0.5339805825242718,-7.097087378640777,103,0.18446601941747573,0.1262135922330097,m
3,0.0,2.7967032967032965,-0.04395604395604396,0.0,182,2.8956043956043955,0.8406593406593407,0.0,0.0,-7.269230769230769,182,0.0989010989010989,0.08791208791208792,m
4,0.007462686567164179,2.0074626865671643,4.604477611940299,0.007462686567164179,134,4.2164179104477615,1.955223880597015,0.0,0.9253731343283582,-3.5522388059701493,134,0.1865671641791045,0.1417910447761194,m
5,0.0,2.7788461538461537,13.307692307692308,0.009615384615384616,104,13.048076923076923,1.7980769230769231,0.0,0.6442307692307693,5.1826923076923075,104,0.28846153846153844,0.20192307692307693,m
6,0.007142857142857143,4.207142857142857,13.785714285714286,0.007142857142857143,140,12.628571428571428,2.6857142857142855,0.0,0.0,8.1,140,0.2571428571428571,0.24285714285714285,m
7,0.0234375,5.296875,16.4609375,0.0,128,12.078125,3.296875,0.2421875,3.2109375,6.8046875,128,0.3125,0.2109375,m
8,0.0,4.9,11.31,0.0,100,9.0,1.55,0.0,1.66,0.52,100,0.2,0.16,m
9,0.0,7.625,8.022727272727273,0.0,88,8.727272727272727,0.5568181818181818,0.0,0.36363636363636365,-8.522727272727273,88,0.10227272727272728,0.06818181818181818,m
10,0.0,7.682926829268292,5.682926829268292,0.0,123,3.5772357723577235,1.6016260162601625,0.0,0.2926829268292683,-9.609756097560975,123,0.16260162601626016,0.07317073170731707,m
11,0.01834862385321101,9.155963302752294,13.339449541284404,0.0,109,4.972477064220183,2.2844036697247705,0.0,0.1559633027522936,-1.908256880733945,109,0.22935779816513763,0.09174311926605505,m
12,0.0,3.982456140350877,11.447368421052632,0.0,114,9.596491228070175,1.5789473684210527,0.0,0.0,2.0964912280701755,114,0.23684210526315788,0.18421052631578946,m
Mon,0.004739336492890996,4.274881516587678,8.042654028436019,0.0,211,8.161137440758294,2.080568720379147,0.0,0.27014218009478674,-2.8578199052132702,211,0.1990521327014218,0.13744075829383887,d
Tue,0.00909090909090909,4.609090909090909,7.454545454545454,0.0,110,4.736363636363636,2.0454545454545454,0.0,3.327272727272727,-5.818181818181818,110,0.21818181818181817,0.11818181818181818,d
Wed,0.006711409395973154,2.033557046979866,6.194630872483222,0.006711409395973154,149,6.89261744966443,2.2751677852348995,0.0,1.0536912751677852,-0.2953020134228188,149,0.19463087248322147,0.12751677852348994,d
Thu,0.003236245954692557,7.320388349514563,15.579288025889968,0.0,309,9.653721682847896,2.365695792880259,0.05825242718446602,0.7540453074433657,2.925566343042071,309,0.24271844660194175,0.1650485436893204,d
Fri,0.004901960784313725,2.946078431372549,7.372549019607843,0.004901960784313725,204,8.117647058823529,1.4068627450980393,0.15196078431372548,0.5196078431372549,-0.2549019607843137,204,0.20098039215686275,0.16176470588235295,d
Sat,0.0,8.023809523809524,10.30952380952381,0.0,126,4.484126984126984,2.0396825396825395,0.0,0.0,-0.7063492063492064,126,0.21428571428571427,0.1746031746031746,d
Sun,0.01597444089456869,8.07667731629393,10.699680511182109,0.003194888178913738,313,6.8498402555910545,3.3833865814696487,0.0,0.18849840255591055,-4.584664536741214,313,0.1853035143769968,0.134185303514377,d
