Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.055347091932457786,3.0046904315196996,7.196060037523452,0.00375234521575985,1066,3.8818011257035647,2.50093808630394,0.0,2.689493433395872,4.042253521126761,1065,0.14821763602251406,0.18497652582159624,y
2016,0.006818181818181818,0.8090909090909091,3.409090909090909,0.0,440,6.4363636363636365,1.1454545454545455,0.0,0.26590909090909093,1.7181818181818183,440,0.1340909090909091,0.11818181818181818,y
2017,0.004347826086956522,7.558695652173913,4.1347826086956525,0.002173913043478261,460,2.4456521739130435,0.5195652173913043,0.0,0.0,-2.45021645021645,462,0.07173913043478261,0.07792207792207792,y
2018,0.02261123267687819,4.549234135667396,8.475565280816921,0.0029175784099197666,1371,7.224653537563822,1.2399708242159009,0.10357403355215171,1.2530999270605399,4.701677607585704,1371,0.13712618526622902,0.1473377097009482,y
2019,0.01660649819494585,4.329241877256318,3.7740072202166064,0.0007220216606498195,1385,4.100361010830325,0.9126353790613718,0.0,1.504693140794224,2.507947976878613,1384,0.10324909747292418,0.13005780346820808,y
1,0.04057971014492753,9.565217391304348,13.904347826086957,0.0,345,6.727536231884058,1.892753623188406,0.0,2.4811594202898553,13.8,345,0.16521739130434782,0.17971014492753623,m
2,0.038338658146964855,2.5399361022364215,5.431309904153355,0.0,313,4.501597444089457,2.7156549520766773,0.0,3.0798722044728435,6.923809523809524,315,0.14376996805111822,0.19365079365079366,m
3,0.04556962025316456,5.493670886075949,4.450632911392405,0.0,395,2.4455696202531647,1.559493670886076,0.0,0.769620253164557,0.18734177215189873,395,0.11139240506329114,0.1518987341772152,m
4,0.01809954751131222,6.4366515837104075,6.540723981900452,0.0022624434389140274,442,3.5361990950226243,1.742081447963801,0.004524886877828055,1.51131221719457,3.841628959276018,442,0.12669683257918551,0.13800904977375567,m
5,0.03201970443349754,4.266009852216749,7.554187192118227,0.0024630541871921183,406,4.332512315270936,2.4039408866995076,0.0,2.645320197044335,2.1358024691358026,405,0.1330049261083744,0.14074074074074075,m
6,0.018469656992084433,2.3034300791556728,3.8390501319261214,0.002638522427440633,379,4.021108179419525,0.9445910290237467,0.0,2.0395778364116093,1.0817941952506596,379,0.11345646437994723,0.14775725593667546,m
7,0.005208333333333333,3.1302083333333335,6.005208333333333,0.0026041666666666665,384,6.765625,0.515625,0.0,0.6588541666666666,2.2682291666666665,384,0.12239583333333333,0.1640625,m
8,0.017587939698492462,1.1155778894472361,1.4371859296482412,0.007537688442211055,398,4.964824120603015,0.44472361809045224,0.0,0.6884422110552764,0.7914572864321608,398,0.09296482412060302,0.10050251256281408,m
9,0.0024630541871921183,2.248768472906404,6.625615763546798,0.0,406,8.46551724137931,1.0394088669950738,0.0,1.0763546798029557,2.8374384236453203,406,0.11083743842364532,0.11822660098522167,m
10,0.018957345971563982,4.004739336492891,5.568720379146919,0.002369668246445498,422,4.729857819905213,0.7725118483412322,0.0,1.400473933649289,3.1445497630331753,422,0.13270142180094788,0.14454976303317535,m
11,0.015306122448979591,2.0892857142857144,1.0331632653061225,0.00510204081632653,392,3.816326530612245,1.1403061224489797,0.0,0.09183673469387756,-2.375,392,0.1096938775510204,0.12244897959183673,m
12,0.05,5.65,8.929545454545455,0.0,440,5.986363636363636,1.3181818181818181,0.3181818181818182,1.2636363636363637,2.558086560364465,439,0.12272727272727273,0.11389521640091116,m
Mon,0.03008595988538682,5.848137535816619,7.234957020057307,0.004297994269340974,698,5.21919770773639,0.8553008595988538,0.0,1.154727793696275,2.882689556509299,699,0.12034383954154727,0.15736766809728184,d
Tue,0.02727272727272727,1.503030303030303,2.08030303030303,0.0,660,4.706060606060606,1.3984848484848484,0.0,1.2212121212121212,1.4825493171471926,659,0.10151515151515152,0.11836115326251896,d
Wed,0.030864197530864196,1.779320987654321,4.783950617283951,0.0,648,5.844135802469136,1.5910493827160495,0.21604938271604937,2.029320987654321,3.3348765432098766,648,0.10802469135802469,0.13271604938271606,d
Thu,0.02608695652173913,5.156521739130435,7.705797101449275,0.0014492753623188406,690,6.107246376811594,1.4289855072463769,0.0,0.9826086956521739,5.633333333333334,690,0.1289855072463768,0.1565217391304348,d
Fri,0.01875901875901876,5.809523809523809,7.75036075036075,0.004329004329004329,693,4.063492063492063,1.3246753246753247,0.002886002886002886,1.8412698412698412,5.4393063583815024,692,0.13564213564213565,0.1531791907514451,d
Sat,0.017241379310344827,3.5078369905956115,5.200626959247649,0.004702194357366771,638,4.382445141065831,0.957680250783699,0.0,1.7210031347962382,-0.15492957746478872,639,0.13949843260188088,0.13302034428794993,d
Sun,0.02446043165467626,4.633093525179856,6.3179856115107915,0.0,695,4.7726618705035975,1.8805755395683452,0.0,1.1611510791366906,1.641726618705036,695,0.12661870503597122,0.13525179856115108,d
