Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.02039609813774756,1.4469405852793378,6.74283180608927,0.0014779781259237363,3383,5.323086018326928,3.9869937924918712,0.023943245639964528,0.32308601832692874,3.637385388938184,3381,0.15903044634939403,0.15912451937296657,y
2016,0.018477920450986535,2.898214844973379,7.3964923269652365,0.00031318509238960227,3193,5.758221108675227,3.9642968994675853,0.003758221108675227,0.19010335108048856,3.097683155917345,3194,0.1506420294393987,0.16656230432060112,y
2017,0.020442930153321975,3.7844974446337307,14.860306643952299,0.00028392958546280523,3522,8.880749574105621,7.385292447473026,0.06587166382737081,0.1643952299829642,10.166145981255324,3521,0.20073821692220328,0.22664015904572565,y
2018,0.014049586776859505,3.9214876033057853,10.215702479338843,0.001859504132231405,4840,6.409917355371901,5.632851239669422,0.006818181818181818,0.2890495867768595,7.541942148760331,4840,0.18078512396694216,0.20702479338842975,y
2019,0.02293404094010614,5.907316148597422,14.803639120545869,0.002274450341167551,5276,6.885329795299469,5.082259287338893,0.008529188779378317,1.459059893858984,7.654734848484848,5280,0.19977255496588325,0.1918560606060606,y
1,0.0403744880046811,2.8443534230544176,11.311878291398479,0.0023405500292568754,1709,7.056758338209479,5.922176711527209,0.06436512580456408,0.25336454066705677,6.801050175029172,1714,0.211234640140433,0.20303383897316218,m
2,0.026875,4.20875,13.519375,0.001875,1600,8.498125,6.271875,0.0025,0.375625,7.66541822721598,1602,0.184375,0.20037453183520598,m
3,0.022172949002217297,1.8708425720620843,9.618070953436806,0.0,1804,6.679046563192904,5.901884700665189,0.0,0.20121951219512196,7.099833610648918,1803,0.1901330376940133,0.201885745978924,m
4,0.01473187978786093,3.3034767236299354,7.803182086034178,0.002357100766057749,1697,5.64407778432528,4.0235710076605775,0.005303476723629935,0.0017678255745433118,3.4899882214369846,1698,0.14319387153800825,0.15724381625441697,m
5,0.008004574042309892,3.9216695254431104,14.407089765580332,0.0017152658662092624,1749,7.104059462550029,7.617495711835335,0.058319039451114926,0.2612921669525443,7.447112635791881,1749,0.21841052029731275,0.2144082332761578,m
6,0.008293838862559242,5.548578199052133,10.789691943127963,0.001184834123222749,1688,6.519549763033176,3.161137440758294,0.03139810426540284,0.35545023696682465,7.4979253112033195,1687,0.16113744075829384,0.19205690574985182,m
7,0.010315533980582525,3.1699029126213594,6.992111650485437,0.0018203883495145632,1648,6.171723300970874,2.8264563106796117,0.0,0.5831310679611651,6.891383495145631,1648,0.15230582524271843,0.19720873786407767,m
8,0.01525320317266626,4.859060402684563,13.795607077486272,0.0012202562538133007,1639,7.343502135448444,6.586333129957291,0.009151921903599756,0.26418547895057964,9.733374008541794,1639,0.19097010372178158,0.21354484441732763,m
9,0.02168525402726146,3.2379182156133828,7.236059479553903,0.0018587360594795538,1614,4.8166047087980175,4.771995043370508,0.007434944237918215,0.1047087980173482,2.177819083023544,1614,0.14684014869888476,0.15489467162329615,m
10,0.0205761316872428,3.4350382128159906,10.425044091710758,0.0005878894767783657,1701,7.225749559082892,3.9588477366255144,0.0011757789535567313,0.8653733098177543,7.090052972336669,1699,0.17401528512639625,0.19599764567392583,m
11,0.020556227327690448,5.03627569528416,14.086457073760581,0.0006045949214026602,1654,6.189238210399033,4.8863361547763,0.0,3.1608222490931075,5.974622356495468,1655,0.186819830713422,0.16555891238670695,m
12,0.022209234365867914,4.814143775569843,14.320280537697252,0.0011689070718877848,1711,6.896551724137931,6.997662185856225,0.056107539450613676,0.38340151957919344,8.085480093676814,1708,0.20631209818819404,0.20608899297423888,m
Mon,0.01639344262295082,2.8309426229508197,10.587090163934427,0.001366120218579235,2928,7.179644808743169,5.3650956284153,0.01092896174863388,0.7137978142076503,8.014655760054533,2934,0.1915983606557377,0.20006816632583505,d
Tue,0.013650682534126707,4.700035001750088,10.528876443822192,0.0010500525026251313,2857,5.606580329016451,5.257262863143157,0.0021001050052502626,0.32621631081554076,4.337298810356893,2858,0.17430871543577178,0.1728481455563331,d
Wed,0.024381868131868132,3.7122252747252746,10.343406593406593,0.0010302197802197802,2912,6.179258241758242,5.241414835164835,0.07589285714285714,0.7441620879120879,6.831445245451425,2913,0.17410714285714285,0.18331616889804325,d
Thu,0.020254033642293168,4.363886028149674,13.374527978029523,0.0013731548232063166,2913,7.385169927909372,6.153450051493306,0.012701682114658427,0.3721249570889118,8.030219780219781,2912,0.2056299347751459,0.22081043956043955,d
Fri,0.021612349914236707,3.2380789022298457,12.897084048027445,0.002058319039451115,2915,8.227101200686107,5.474785591766723,0.0,0.9938250428816466,8.569568197395476,2918,0.18250428816466552,0.2131596984235778,d
Sat,0.013275923932543954,3.9418729817007536,7.62935055615357,0.0007176175098672408,2787,5.093290276282741,3.4750627915321135,0.02726946537495515,0.33584499461786865,2.182146729309722,2767,0.14244707570864729,0.1452837007589447,d
Sun,0.024810475534114404,4.121640248104756,12.851826326671262,0.002067539627842867,2902,6.994831150930393,5.745348035837353,0.010682288077188146,0.4376292212267402,8.465339739190117,2914,0.19331495520330808,0.20624571036376116,d
