Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.021001176790078756,2.7350411876527563,8.231103467004617,0.0030777586675115416,11047,4.3305874898162395,2.8907395673033403,0.005883950393772065,0.44328777043541234,4.797609345286607,11043,0.15832352674934372,0.18274019741012407,y
2016,0.01407884151246983,3.8208970233306516,8.549778761061948,0.0028157683024939663,9944,3.6145414320193083,2.432220434432824,0.01759855189058729,0.37630732099758646,3.3201207243460766,9940,0.1509452936444087,0.1630784708249497,y
2017,0.014965849738850944,3.310265166733628,9.230715146645238,0.0026114905584572116,9956,4.016673362796304,3.6200281237444756,0.007834471675371634,0.5267175572519084,3.9028726396143028,9956,0.1527721976697469,0.17115307352350342,y
2018,0.020433112120153685,3.9771655606007683,10.259081383164514,0.0030125742228431715,22904,5.075314355571079,3.7682937478169753,0.012137617883339155,0.6202410059378275,5.943289967694054,22906,0.17363779252532308,0.1983323146773771,y
2019,0.01717408274785324,3.7116151033321008,9.60043551501705,0.002834956243066683,24339,4.9100209540244055,3.6162126628045526,0.006327293643945931,0.5707301039483956,4.806345553180996,24332,0.15986688031554297,0.18827059016932435,y
1,0.02703639514731369,3.62894280762565,9.854592720970537,0.0019064124783362219,5770,4.472443674176777,4.352859618717504,0.005199306759098787,0.8086655112651646,6.162419830126538,5769,0.1755632582322357,0.20194141098977292,m
2,0.03214953271028037,3.9785046728971962,9.835140186915888,0.002803738317757009,5350,4.601121495327103,3.3899065420560746,0.02691588785046729,0.7717757009345795,4.292919858023538,5353,0.17401869158878505,0.18475621147020363,m
3,0.022437937619350732,3.26098026734564,8.267027371101209,0.0022278803309993636,6284,4.286123488224061,2.795671546785487,0.003500954805856143,0.7073520050922979,3.132505175983437,6279,0.14497135582431572,0.16547220895046982,m
4,0.013702945345723735,5.149787368089463,10.855567805953694,0.003150102378327296,6349,4.674594424318791,3.0048826586864075,0.017010552842967396,0.6278154040006301,5.191412393834539,6358,0.16695542605134667,0.1788298206983328,m
5,0.014512977951437344,3.476555958693832,10.41571308958973,0.0026514094334356684,7166,5.27574658107731,3.406921574099916,0.009070611219648339,0.6399665085124198,5.3055516710949515,7151,0.16731789003628245,0.19102223465249615,m
6,0.023054755043227664,4.746253602305475,14.39178674351585,0.005187319884726225,6940,6.02463976945245,4.705187319884726,0.009221902017291067,0.5283861671469741,10.469375990776769,6939,0.20677233429394812,0.23605706874189364,m
7,0.020606588303584385,3.8251342330576112,12.157741982295748,0.0031925700188651864,6891,5.944855608765056,4.0052242054854155,0.0,0.44899143810767667,9.234073429110435,6891,0.19402118705557975,0.22826875634886085,m
8,0.02101087275933,3.768145753746694,9.316632383191301,0.004407875404055245,6806,4.830590655304143,3.5762562444901556,0.003085512782838672,0.29870702321481046,5.762114537444934,6810,0.15912430208639436,0.1957415565345081,m
9,0.01338255652976465,2.854791570527611,5.504383940932164,0.003230272265805261,6501,2.574680818335641,3.3237963390247653,0.015382248884786957,0.24227041993539455,0.9412578809780101,6503,0.11967389632364252,0.1380901122558819,m
10,0.007785956964892413,2.3733012457531144,6.281993204983013,0.001840317100792752,7064,3.94960362400906,2.4367214043035106,0.0005662514156285391,0.444365798414496,1.5275378734248903,7063,0.13094563986409966,0.15305111142573977,m
11,0.010612492419648272,2.5400242571255305,6.302304426925409,0.001061249241964827,6596,3.5535172832019404,2.829138872043663,0.01713159490600364,0.5780776228016979,1.4956785443517817,6595,0.13644633110976348,0.15178165276724792,m
12,0.01390390854317936,3.9006642978526185,9.686544106287656,0.002780781708635872,6473,4.781554147999382,3.104742777691951,0.012204541943457438,0.4398269735825738,4.095886173832354,6466,0.16483856017302642,0.1928549334982988,m
Mon,0.020046063294378573,3.060905911456112,9.813187750575791,0.0030708862919048025,11723,5.012539452358611,3.922033609144417,0.007080098950780517,0.5507122750149279,5.746610964276579,11729,0.16616906935084877,0.1947310086111348,d
Tue,0.018965215871351162,3.1774165355707042,8.279059604964168,0.0028841111693759833,11442,4.330274427547631,3.574462506554798,0.015731515469323543,0.5615277049466877,4.476869261040664,11435,0.153906659674882,0.18303454306952338,d
Wed,0.021124923932887073,3.2745370772841866,8.629835695036078,0.002608015300356429,11503,4.420412066417456,3.283665130835434,0.0015648091802138572,0.7350256454837868,4.071143154968729,11512,0.1551769103712075,0.17694579569145238,d
Thu,0.01933725189539143,4.1828946247550896,10.639492290655081,0.0035778175313059034,11739,5.048641281199421,3.6361700315188688,0.010222335803731152,0.4932277025300281,6.169022479564033,11744,0.1703722633955192,0.19822888283378748,d
Fri,0.01663254861821904,4.178352098259979,11.065677243261685,0.0030706243602865915,11724,5.140481064483112,3.62683384510406,0.008358921869669056,0.4129136813374275,6.60882930578089,11711,0.17980211531900375,0.20408163265306123,d
Sat,0.011746280344557557,3.6582391766416826,8.015549837789463,0.002572994742141179,8939,3.601185814968117,2.761718313010404,0.009173285602416377,0.6775925718760488,2.132957746478873,8875,0.14050788678823134,0.15785915492957747,d
Sun,0.016636690647482015,3.7678956834532373,9.097841726618705,0.0023381294964028776,11120,4.374280575539569,2.872571942446043,0.015197841726618705,0.3557553956834532,3.910751051830633,11171,0.16016187050359712,0.17312684629845135,d
