Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.0030303030303030303,2.6646464646464647,3.422222222222222,0.000505050505050505,1980,2.8767676767676766,0.9843434343434343,0.0030303030303030303,0.402020202020202,5.116102978293791,1981,0.1,0.14790509843513377,y
2016,0.00481000481000481,1.9677729677729678,1.531986531986532,0.000481000481000481,2079,2.2683982683982684,1.1048581048581048,0.00913900913900914,0.25204425204425207,2.688792688792689,2079,0.07311207311207311,0.11976911976911978,y
2017,0.0021413276231263384,2.947180585296217,1.4393290506780871,0.0010706638115631692,2802,2.4221984296930765,1.0660242683797287,0.0,0.2780157030692363,-0.8035650623885918,2805,0.06923625981441828,0.10124777183600712,y
2018,0.0006159531875577456,2.792115799199261,1.7394518016630736,0.0012319063751154912,3247,2.280566676932553,1.3855866954111486,0.0,0.32707114259316294,0.5894672004927626,3247,0.0757622420696027,0.1201108715737604,y
2019,0.007304882737408689,6.495578623606305,7.913879277201077,0.0007689350249903883,2601,3.657823913879277,1.922722029988466,0.005382545174932718,0.45251826220684355,3.569780853517878,2601,0.12187620146097655,0.1568627450980392,y
1,0.001892147587511826,2.8297067171239356,2.775780510879849,0.000946073793755913,1057,3.051087984862819,1.8959318826868496,0.0,0.15610217596972564,2.3179245283018868,1060,0.10501419110690634,0.15,m
2,0.005994005994005994,4.755244755244755,6.418581418581419,0.0,1001,3.4905094905094907,1.6573426573426573,0.013986013986013986,0.5214785214785215,3.2275449101796405,1002,0.1088911088911089,0.1536926147704591,m
3,0.005737704918032787,3.9647540983606557,4.8188524590163935,0.0,1220,3.009016393442623,1.290983606557377,0.0,0.4565573770491803,2.081900081900082,1221,0.09918032786885246,0.12203112203112203,m
4,0.010067114093959731,1.4723154362416107,0.4278523489932886,0.0008389261744966443,1192,1.6140939597315436,1.096476510067114,0.0,0.3087248322147651,-0.35570469798657717,1192,0.0662751677852349,0.09060402684563758,m
5,0.0008460236886632825,3.203891708967851,3.715736040609137,0.0008460236886632825,1182,3.4331641285956005,1.6861252115059222,0.016074450084602367,0.0338409475465313,2.733446519524618,1178,0.0829103214890017,0.12139219015280135,m
6,0.0025380710659898475,2.0076142131979697,0.7081218274111675,0.0025380710659898475,788,2.0901015228426396,0.6104060913705583,0.0,0.4289340101522843,2.480964467005076,788,0.07741116751269035,0.13959390862944163,m
7,0.0,2.5143229166666665,1.8684895833333333,0.0,768,2.4830729166666665,1.0481770833333333,0.0,0.8216145833333334,4.8515625,768,0.08203125,0.15494791666666666,m
8,0.0012853470437017994,1.4100257069408741,-1.1336760925449871,0.0012853470437017994,778,1.8997429305912596,0.9048843187660668,0.0,0.2352185089974293,1.80719794344473,778,0.056555269922879174,0.13110539845758354,m
9,0.0,2.9609810479375698,0.25752508361204013,0.0011148272017837235,897,1.3835005574136008,0.7870680044593088,0.0,0.3188405797101449,-2.897891231964484,901,0.04793756967670011,0.06659267480577137,m
10,0.0022624434389140274,5.374057315233785,4.709653092006033,0.0,1326,2.3514328808446456,1.1463046757164403,0.0,0.42835595776772245,0.9299171062547099,1327,0.08295625942684766,0.1145440844009043,m
11,0.0031746031746031746,3.0063492063492063,2.462698412698413,0.002380952380952381,1260,2.4912698412698413,1.269047619047619,0.0,0.15,1.6574147501982555,1261,0.0873015873015873,0.12767644726407612,m
12,0.004032258064516129,5.867741935483871,7.577419354838709,0.0008064516129032258,1240,4.2064516129032254,1.9193548387096775,0.004838709677419355,0.3959677419354839,4.7219078415521425,1237,0.12741935483870967,0.16734033953112368,m
Mon,0.004289544235924933,3.7865951742627346,4.933512064343163,0.0010723860589812334,1865,3.633780160857909,1.4820375335120644,0.0,0.40214477211796246,4.5238350294590255,1867,0.1067024128686327,0.14890198178896624,d
Tue,0.002185792349726776,4.237704918032787,4.261202185792349,0.001092896174863388,1830,2.5765027322404372,1.6032786885245902,0.0,0.2978142076502732,-0.18400876232201532,1826,0.08524590163934426,0.11117196056955093,d
Wed,0.004402861860209136,2.951018161805173,1.4463401210787012,0.0,1817,2.2812328013208587,1.2669235002751789,0.0,0.16345624656026417,0.43447136563876654,1816,0.07760044028618603,0.1277533039647577,d
Thu,0.0016339869281045752,2.4640522875816995,2.3513071895424837,0.0,1836,2.621459694989107,1.4324618736383443,0.0,0.7260348583877996,1.7191743617599131,1841,0.0860566448801743,0.13199348180336773,d
Fri,0.004203888596952181,2.9153967419863376,2.8723068838675774,0.0021019442984760903,1903,2.533893851812927,1.4555964266946926,0.010509721492380452,0.3783499737256963,3.0419727177334734,1906,0.0861797162375197,0.12749213011542498,d
Sat,0.005674653215636823,2.6935687263556116,1.2377049180327868,0.0,1586,2.122950819672131,0.8461538461538461,0.0,0.2944514501891551,1.8868520859671303,1582,0.07503152585119799,0.11061946902654868,d
Sun,0.0016025641025641025,4.841346153846154,4.729166666666667,0.0016025641025641025,1872,2.9268162393162394,1.063568376068376,0.01014957264957265,0.12072649572649573,2.0389333333333335,1875,0.09081196581196581,0.13333333333333333,d
