Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.009159931422973304,2.377075679647318,7.655522899828558,0.0017144256674014205,40830,4.885500857212834,1.5443791329904482,0.0031104579965711486,0.12287533676218466,4.960445750673524,40830,0.1656625030614744,0.18537839823659075,y
2016,0.007973631274084486,2.5842320835655945,8.235573544024623,0.002108528634788299,41261,4.733065122028065,1.8322871476697122,0.0036596301592302658,0.1314558541964567,4.979376196592589,41263,0.1761954387920797,0.18411167389671135,y
2017,0.007965740658560398,2.386127629360078,8.22670187272566,0.0020635484157273455,45068,4.978587911600249,1.9891275406053075,0.004282417679950298,0.1355285346587379,4.867940438941038,45063,0.17684388035856927,0.19508244013936046,y
2018,0.0063256208872850776,2.032731904054341,6.375291870091276,0.002228826151560178,47110,3.94168966249204,1.7574824877945234,0.006219486308639354,0.12678836765018042,3.3151650217552797,47115,0.1531097431543197,0.17259895999151015,y
2019,0.014121440503476943,2.2995610116157104,6.3287556815974515,0.0013791228002020123,51482,3.7531952915582147,1.5294471854240317,0.014004894914727478,0.09879181072996387,2.93182347913915,51484,0.14537119770016704,0.16937300909020278,y
1,0.01291587383958946,2.1084010840108403,7.497434123277403,0.001960445136366257,17343,5.14835956870207,1.7780084183820561,0.0016144842299486825,0.15032001383843627,3.55661845214084,17353,0.1619673643544946,0.18261971993315276,m
2,0.014442262621143979,2.529106226642174,7.866662443782859,0.0015835814277570153,15787,4.680306581364413,1.831380249572433,0.010514980680306582,0.2693988724900234,4.524011657374556,15784,0.16342560334452397,0.1848073998986315,m
3,0.011124089215195506,2.1494521386061516,7.616052060737527,0.0013905111518994382,17979,4.630402135825129,1.8675677178930976,0.0,0.0918293564714389,4.169328362361583,17971,0.16964236053173146,0.1785654665850537,m
4,0.009585549645390072,2.0359596631205674,6.677304964539007,0.0016068262411347517,18048,4.182291666666667,1.592253989361702,0.0024933510638297874,0.06964760638297872,4.2092096524241756,18068,0.16179078014184398,0.1825326544166482,m
5,0.009482847963519536,2.50880920302622,7.945227484713442,0.0018136594465747746,19298,4.612291429163644,1.9280754482329776,0.013213804539330501,0.09985490724427402,4.80300518134715,19300,0.17291947352057208,0.1905181347150259,m
6,0.00836690424542919,2.811176531350067,9.462348930895569,0.002634025410598079,19362,5.209275901249871,1.7432083462452226,0.006817477533312674,0.14430327445511829,8.59297883324729,19370,0.19930792273525463,0.22607124419204955,m
7,0.011670240885741359,2.720911675228168,8.6488454441175,0.002493641214902,20051,5.33205326417635,1.7524811730088274,0.0070819410503216796,0.07191661263777367,7.404646756743282,20057,0.17610094259637923,0.20840604277808247,m
8,0.00993263509858878,2.467866450312239,8.113831931946699,0.0015734867482912918,20337,5.001180115061218,2.2166494566553574,0.0018193440527118061,0.13949943452819982,6.244442258508754,20332,0.17219845601612824,0.1979146173519575,m
9,0.005718741876787107,1.2739797244606186,3.5393293475435406,0.0017676111255523785,19235,2.9193137509747857,1.349779048609306,0.0015076683129711464,0.08520925396412789,0.39478061967144934,19236,0.10990382115934494,0.12897691827822833,m
10,0.005421806605650617,2.0169617986470354,5.1823517707918825,0.0015917230401910067,20104,3.0190011937922803,1.5683943493832073,0.004526462395543176,0.08729606048547553,1.1798736506989007,20103,0.13425189017111022,0.14639606028950902,m
11,0.004730368968779565,2.113949332492379,5.405392620624409,0.0017344686218858404,19026,3.1138967728371703,1.4716177861873225,0.012929675181330811,0.08982445075160307,-0.5901656586905075,19015,0.13476295595500892,0.1350512753089666,m
12,0.008967207132057765,3.160523434648871,9.77879151243418,0.0023982065585735884,19181,5.295031541629737,1.6216568479224232,0.01637036650852406,0.19482821542151088,4.992330168005844,19166,0.1947760804963245,0.20682458520296357,m
Mon,0.0079960019990005,2.0961284063850427,7.405973483846312,0.001940206367404533,34017,4.610400682011935,1.8755916159567274,0.005820619102213599,0.1285827674398095,4.374367125868362,33972,0.1648293500308669,0.18265041799128695,d
Tue,0.010866311441058492,1.951505717535772,5.42552236125247,0.001676345566664671,33406,3.5502005627731545,1.427977010117943,0.001436867628569718,0.08797820750763335,2.1771769074140614,33396,0.13820870502304974,0.15762366750509044,d
Wed,0.010981509512361619,2.064048912236963,6.01878728519277,0.0017214258154512807,33693,3.6822485382720447,1.5786958715460184,0.01071439171341228,0.10055501142670584,2.6905870835681864,33709,0.14572759920458256,0.16295351389836543,d
Thu,0.009889915817978455,2.440866545005004,9.085182786836993,0.001618885029728616,33974,5.396332489550833,2.0700830046506153,0.006357803025843292,0.14260905398245718,6.120873629442371,34019,0.18861482310001765,0.20632587671595284,d
Fri,0.009074889867841409,2.659324522760646,9.019060205580029,0.002320117474302496,34050,5.287488986784141,1.92496328928047,0.0033480176211453743,0.13947136563876653,6.24420347350789,34029,0.18743024963289281,0.2046783625730994,d
Sat,0.007763372408974459,2.444996506482416,5.802189271019331,0.001979659964288487,25762,3.455360608648397,1.282353854514401,0.00982066609735269,0.07972983464016768,1.9775201691861832,25534,0.13399580777889916,0.15383410354821023,d
Sun,0.0076825829038218415,2.6861810755616067,8.042432493759927,0.001977373658789588,30849,4.738208693960907,1.8228467697494246,0.009562708677752926,0.1704755421569581,4.865030872137895,31096,0.1726149956238452,0.19086056084383843,d
