Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.06191369606003752,3.371482176360225,5.077861163227017,0.0,1066,3.5656660412757972,1.9371482176360224,0.019699812382739212,1.020637898686679,4.555451127819549,1064,0.1303939962476548,0.16541353383458646,y
2016,0.02456140350877193,7.3087719298245615,10.585964912280701,0.0011695906432748538,855,7.837426900584795,1.5403508771929824,0.0,0.0,12.58411214953271,856,0.15906432748538013,0.21728971962616822,y
2017,0.04,5.906666666666666,4.613333333333333,0.0,75,4.653333333333333,2.08,0.0,0.0,12.6,75,0.12,0.21333333333333335,y
2018,0.039119804400977995,3.6145069274653627,6.248573757131214,0.0,1227,3.971475142624287,2.3080684596577017,0.0,1.2428687856560716,2.0366449511400653,1228,0.13121434392828035,0.1490228013029316,y
2019,0.033816425120772944,1.8784219001610305,3.9589371980676327,0.0008051529790660225,1242,4.908212560386473,1.1642512077294687,0.0,1.0225442834138487,1.7793880837359097,1242,0.11755233494363929,0.13848631239935588,y
1,0.046153846153846156,2.753846153846154,4.815384615384615,0.0,390,3.8564102564102565,1.2461538461538462,0.0,2.094871794871795,3.2455242966751916,391,0.11794871794871795,0.1432225063938619,m
2,0.08682634730538923,3.94311377245509,5.470059880239521,0.0,334,3.2065868263473054,1.5688622754491017,0.0,1.8862275449101797,2.6246246246246248,333,0.11377245508982035,0.15615615615615616,m
3,0.045845272206303724,2.108882521489971,3.0573065902578795,0.0028653295128939827,349,4.902578796561604,1.4641833810888252,0.0,0.4183381088825215,1.146131805157593,349,0.10888252148997135,0.1318051575931232,m
4,0.05278592375366569,5.255131964809384,5.973607038123167,0.0,341,3.4252199413489737,1.9530791788856305,0.06158357771260997,0.7243401759530792,4.090909090909091,341,0.13196480938416422,0.15542521994134897,m
5,0.06971153846153846,4.125,9.100961538461538,0.0,416,5.4326923076923075,2.7860576923076925,0.0,2.0240384615384617,6.456730769230769,416,0.15144230769230768,0.18509615384615385,m
6,0.05,4.9225,11.1475,0.0,400,9.205,1.3875,0.0,0.2125,12.706467661691542,402,0.165,0.21144278606965175,m
7,0.024630541871921183,4.982758620689655,10.155172413793103,0.0,406,6.960591133004926,2.4630541871921183,0.0,0.024630541871921183,11.77832512315271,406,0.1724137931034483,0.21674876847290642,m
8,0.017326732673267328,4.2549504950495045,4.274752475247524,0.0024752475247524753,404,4.163366336633663,1.4727722772277227,0.0,0.11633663366336634,2.6782178217821784,404,0.10891089108910891,0.15594059405940594,m
9,0.008379888268156424,1.782122905027933,2.7039106145251397,0.0,358,4.829608938547486,0.9273743016759777,0.0,0.036312849162011177,2.2905027932960893,358,0.11173184357541899,0.14804469273743018,m
10,0.02702702702702703,2.3972972972972975,4.9837837837837835,0.0,370,4.481081081081081,2.2783783783783784,0.0,1.6486486486486487,3.17027027027027,370,0.12432432432432433,0.14864864864864866,m
11,0.02005730659025788,5.051575931232092,4.137535816618911,0.0,349,2.8939828080229226,1.6876790830945558,0.0,0.022922636103151862,1.4040114613180517,349,0.12320916905444126,0.14040114613180515,m
12,0.03735632183908046,4.080459770114943,6.419540229885057,0.0,348,4.364942528735632,1.5977011494252873,0.0,1.2298850574712643,3.4566473988439306,346,0.14942528735632185,0.16184971098265896,m
Mon,0.04398826979472141,5.310850439882698,8.595307917888563,0.0,682,5.975073313782991,2.3812316715542523,0.0,0.1774193548387097,6.843567251461988,684,0.1627565982404692,0.1915204678362573,d
Tue,0.03993344425956739,2.803660565723794,5.347753743760399,0.0,601,4.119800332778702,2.048252911813644,0.03494176372712146,1.6938435940099834,2.140728476821192,604,0.12479201331114809,0.1390728476821192,d
Wed,0.036334913112164295,1.3317535545023698,1.1216429699842023,0.00315955766192733,633,3.5908372827804107,1.235387045813586,0.0,0.292259083728278,1.9257503949447077,633,0.10268562401263823,0.12480252764612954,d
Thu,0.04283604135893648,5.741506646971935,9.608567208271788,0.0,677,5.979320531757755,2.016248153618907,0.0,1.3338257016248154,6.137982195845697,674,0.12850812407680945,0.17210682492581603,d
Fri,0.041237113402061855,3.7938144329896906,5.867452135493372,0.0,679,5.437407952871871,1.6406480117820323,0.0,0.35198821796759944,7.581497797356828,681,0.1325478645066274,0.19089574155653452,d
Sat,0.04198473282442748,2.232824427480916,5.402671755725191,0.0,524,4.311068702290076,1.8721374045801527,0.0,1.6927480916030535,5.162790697674419,516,0.1297709923664122,0.1686046511627907,d
Sun,0.03587443946188341,4.889387144992527,6.409566517189836,0.0,669,4.479820627802691,1.0747384155455904,0.0,0.7922272047832586,3.1471025260029717,673,0.14200298953662183,0.1575037147102526,d
