Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.04115552037989711,3.4012663237039966,6.19192718638702,0.0003957261574990107,2527,5.66007123070835,2.1788682231895526,0.002374356944994064,0.6434507320933913,6.433887569279493,2526,0.14879303521962803,0.18527315914489312,y
2016,0.004830917874396135,0.5265700483091788,-3.4468599033816427,0.0,414,3.367149758454106,0.9251207729468599,0.0,0.0,-2.026570048309179,414,0.06763285024154589,0.10144927536231885,y
2017,0.043859649122807015,1.6666666666666667,16.04385964912281,0.0,114,19.45614035087719,1.719298245614035,0.0,0.0,16.42982456140351,114,0.21052631578947367,0.23684210526315788,y
2018,0.044382801664355064,2.087378640776699,6.85367545076283,0.0,1442,5.269764216366158,2.026352288488211,0.0,0.9895977808599168,6.497226074895978,1442,0.14840499306518723,0.1636615811373093,y
2019,0.03571428571428571,2.6345663265306123,6.749362244897959,0.0006377551020408163,1568,5.2251275510204085,1.836734693877551,0.05038265306122449,0.8730867346938775,2.8877551020408165,1568,0.15051020408163265,0.14987244897959184,y
1,0.030100334448160536,3.79933110367893,6.555183946488294,0.0,598,5.765886287625418,1.8110367892976589,0.0016722408026755853,0.8879598662207357,5.277870216306156,601,0.1354515050167224,0.15973377703826955,m
2,0.07042253521126761,1.5316901408450705,3.494718309859155,0.0,568,5.297535211267606,2.0264084507042255,0.0,0.31690140845070425,5.860670194003528,567,0.13556338028169015,0.18342151675485008,m
3,0.05303030303030303,2.984848484848485,8.594696969696969,0.0,528,7.278409090909091,1.9696969696969697,0.0,0.6477272727272727,6.7091254752851714,526,0.17234848484848486,0.19961977186311788,m
4,0.03470715835140998,1.4815618221258136,6.54880694143167,0.0,461,5.214750542299349,3.108459869848156,0.14316702819956617,1.6030368763557483,5.995670995670996,462,0.1648590021691974,0.1774891774891775,m
5,0.06262626262626263,5.218181818181818,13.666666666666666,0.0,495,6.824242424242424,2.985858585858586,0.0,3.022222222222222,7.5242914979757085,494,0.17575757575757575,0.18218623481781376,m
6,0.04121475054229935,3.0802603036876355,11.550976138828634,0.0,461,8.22993492407809,2.7765726681127982,0.0,1.1800433839479392,11.08874458874459,462,0.18872017353579176,0.21212121212121213,m
7,0.02702702702702703,0.9625779625779626,2.0935550935550937,0.002079002079002079,481,3.3076923076923075,1.7546777546777548,0.0,0.0,5.014553014553014,481,0.12681912681912683,0.16424116424116425,m
8,0.02074688796680498,3.7219917012448134,6.5,0.0,482,5.16597510373444,2.0497925311203318,0.0,0.14107883817427386,5.550935550935551,481,0.15145228215767634,0.1891891891891892,m
9,0.014028056112224449,0.218436873747495,-0.03006012024048096,0.0,499,4.132264529058117,1.220440881763527,0.012024048096192385,0.028056112224448898,-0.5731462925851704,499,0.09819639278557114,0.11623246492985972,m
10,0.04780114722753346,2.8948374760994264,7.022944550669216,0.0,523,6.447418738049713,1.254302103250478,0.0076481835564053535,0.3881453154875717,3.374760994263862,523,0.15105162523900573,0.1491395793499044,m
11,0.031315240083507306,0.9018789144050104,2.0313152400835075,0.0,479,4.8580375782881005,1.7286012526096033,0.0,0.592901878914405,5.55741127348643,479,0.11064718162839249,0.15031315240083507,m
12,0.018367346938775512,4.955102040816326,4.473469387755102,0.0020408163265306124,490,4.059183673469388,1.0142857142857142,0.0163265306122449,0.04285714285714286,0.6666666666666666,489,0.1306122448979592,0.11247443762781185,m
Mon,0.0367965367965368,3.6634199134199132,9.674242424242424,0.0,924,7.786796536796537,2.1417748917748916,0.017316017316017316,0.8582251082251082,7.4875675675675675,925,0.15476190476190477,0.18594594594594593,d
Tue,0.03436807095343681,2.2006651884700665,6.4977827050997785,0.0011086474501108647,902,5.536585365853658,1.8980044345898004,0.008869179600886918,1.5343680709534369,4.05641592920354,904,0.14745011086474502,0.15376106194690264,d
Wed,0.04367816091954023,2.532183908045977,4.048275862068966,0.0,870,4.554022988505747,2.5436781609195402,0.0367816091954023,0.11494252873563218,3.421658986175115,868,0.12528735632183907,0.1532258064516129,d
Thu,0.04535637149028078,0.9697624190064795,4.452483801295896,0.0,926,5.836933045356371,1.33585313174946,0.0010799136069114472,0.4535637149028078,6.361863488624052,923,0.14362850971922247,0.18418201516793067,d
Fri,0.03825136612021858,2.2808743169398906,4.787978142076502,0.0,915,5.174863387978142,1.971584699453552,0.0,0.3584699453551913,5.523446019629226,917,0.14098360655737704,0.17121046892039257,d
Sat,0.03221288515406162,4.1988795518207285,6.427170868347339,0.0,714,4.42577030812325,2.0056022408963585,0.0,1.226890756302521,4.449213161659514,699,0.1400560224089636,0.15736766809728184,d
Sun,0.0343980343980344,3.1793611793611793,6.2653562653562656,0.0012285012285012285,814,5.228501228501228,1.855036855036855,0.0343980343980344,0.64004914004914,4.315217391304348,828,0.16093366093366093,0.15338164251207728,d
