Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.02344573234984194,4.938751317175975,9.92004741833509,0.005136986301369863,7592,4.5101422550052686,4.060063224446786,0.0003951527924130664,0.3257376185458377,9.490978532859213,7593,0.17729188619599578,0.22560252864480443,y
2016,0.01468754330054039,4.593598448108632,7.893168906747956,0.006235277816267147,7217,4.6502701953720385,2.5879174172093666,0.0,0.09907163641402245,7.7437283437283435,7215,0.1463211860884024,0.18905058905058905,y
2017,0.018833535844471446,5.684234507897934,11.602521263669502,0.0027339003645200487,6584,5.160388821385176,4.375455650060753,0.0013669501822600244,0.587636695018226,9.604223640230932,6582,0.17314702308626975,0.2127013065937405,y
2018,0.018214822233350025,4.478905858788182,10.320480721081623,0.0035678517776664997,15976,6.152290936404607,3.027103154732098,0.0058838257386079115,0.7180771156735103,8.259435438442761,15977,0.17432398597896845,0.21211741878950993,y
2019,0.015637997005489936,4.802750512948483,9.540009981700216,0.0025508789441579327,18033,5.139743803027782,3.2500970443076582,0.00687628237120834,0.9371152886374979,8.44726627481424,18034,0.15965174957023234,0.21487190861705668,y
1,0.02290977798771847,4.020311761927256,7.312234293811998,0.0023618327822390174,4234,4.558337269721304,3.0989607935758148,0.00684931506849315,0.5767595654227681,8.770212765957448,4230,0.15658951346244687,0.22151300236406618,m
2,0.033102386451116246,4.793944059532974,10.53323069027457,0.0023094688221709007,3897,5.8945342571208625,3.5773672055427252,0.0,0.5196304849884527,9.063655030800822,3896,0.18039517577623812,0.23100616016427106,m
3,0.01755146262188516,4.675406283856988,8.900758396533044,0.004767063921993499,4615,5.197183098591549,2.696208017334778,0.0006500541711809318,0.27453954496208016,7.3896103896103895,4620,0.15644637053087757,0.19956709956709956,m
4,0.01997366110623354,4.690298507462686,8.998024582967515,0.004389815627743635,4556,5.185689201053556,3.4119841966637403,0.0046093064091308165,0.271729587357331,6.608217974071633,4551,0.15605794556628622,0.1885299934080422,m
5,0.01482595616673829,4.368285345938977,9.538891276321444,0.00365277180919639,4654,5.060807907176622,3.318650623119897,0.005156854318865492,0.6095831542758917,7.740764604810996,4656,0.15986248388483026,0.20382302405498282,m
6,0.027312228429546864,5.7239809642044275,15.768466790813159,0.004552038071591144,4833,7.6896337678460585,4.462652596730809,0.008483343678874405,1.18084005793503,16.038047973531846,4836,0.22263604386509414,0.2799834574028122,m
7,0.014943215780035863,5.003984857541343,13.984259812711695,0.004582586172544332,5019,7.3831440526001195,4.2657899980075715,0.005180314803745766,1.0432357043235705,15.714115070674895,5023,0.20800956365809922,0.26796735018913,m
8,0.021813774994950515,6.305594829327409,11.87234902039992,0.004847505554433448,4951,5.5150474651585535,3.8218541708745706,0.0016158351848111492,0.6113916380529186,11.773443815683104,4948,0.1781458291254292,0.23585286984640258,m
9,0.012541993281075027,4.419036954087346,5.662486002239642,0.0026875699888017916,4465,3.507502799552072,2.0488241881298994,0.005151175811870101,0.3081746920492721,3.6283602150537635,4464,0.12564389697648376,0.16733870967741934,m
10,0.006465952717720751,3.449383713881592,5.44150333400687,0.0030309153364316025,4949,3.625378864417054,2.470195999191756,0.0034350373812891493,0.7191351788240048,2.4994948474439282,4949,0.12911699333198626,0.15983026874115983,m
11,0.007738607050730868,4.3217970765262255,7.210232158211522,0.0032244196044711954,4652,3.9460447119518487,3.0498710232158213,0.0,0.38521066208082544,5.375913978494624,4650,0.1442390369733448,0.1761290322580645,m
12,0.016386279222197948,5.757046100065545,12.274197072318112,0.0034957395674022284,4577,5.643871531570898,3.7847935328818,0.008302381472580292,1.0753768844221105,7.530144167758847,4578,0.17260214114048503,0.20773263433813893,m
Mon,0.023151429246397355,5.671273328608552,12.909874793290811,0.003661705646113867,8466,6.475076777699031,3.630285849279471,0.00885896527285613,1.0629577132057642,11.56691515796947,8451,0.1888731396172927,0.2352384333215004,d
Tue,0.01787512588116818,4.432401812688822,8.747608257804632,0.004531722054380665,7944,4.819486404833837,3.596299093655589,0.0,0.7433282980866063,6.086436839456467,7948,0.15181268882175228,0.19275289380976346,d
Wed,0.01712796326175996,4.048405113565844,7.570683877373712,0.002730544867816805,8057,4.51309420379794,3.479707087005089,0.001241156758098548,0.457242149683505,6.696470588235294,8075,0.15142112448802283,0.19306501547987617,d
Thu,0.018533919448734705,4.709754069145776,10.012474753475109,0.002257336343115124,8417,5.312938101461328,3.581798740643935,0.005940358797671379,0.6688844006177973,9.522224863323032,8414,0.1704882974931686,0.2267649156168291,d
Fri,0.014714607808235435,4.679363949210869,10.405482378070488,0.004865313872077845,8427,5.702147858075234,3.2770855583244334,0.0029666548000474666,0.3995490684703928,11.253203607024204,8428,0.1776432894268423,0.23184622686283815,d
Sat,0.015074553498279535,5.185810257250533,9.196133049320007,0.004751761428805505,6103,4.635916762248074,2.8114042274291333,0.0,0.6993281992462723,5.126825266611977,6095,0.15385875798787482,0.18014766201804758,d
Sun,0.016649974962443664,4.96607411116675,9.728968452679018,0.0033800701051577365,7988,5.285678517776665,2.881572358537807,0.008763144717075613,0.4475463194792188,8.640675844806008,7990,0.16399599399098647,0.2130162703379224,d
