Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.006906077348066298,0.5538674033149171,-6.029005524861878,0.009668508287292817,724,4.624309392265193,0.47651933701657456,0.0,0.13397790055248618,0.30386740331491713,724,0.106353591160221,0.14502762430939226,y
2016,0.02620689655172414,0.23448275862068965,-12.823448275862068,0.005517241379310344,725,2.771034482758621,0.383448275862069,0.02482758620689655,0.09241379310344827,-5.80524861878453,724,0.060689655172413794,0.09530386740331492,y
2017,0.023480662983425413,1.4060773480662982,-6.791436464088398,0.015193370165745856,724,4.861878453038674,0.7002762430939227,0.055248618784530384,0.5027624309392266,-1.899171270718232,724,0.10911602209944751,0.11878453038674033,y
2018,0.013850415512465374,0.8476454293628809,-8.59972299168975,0.004155124653739612,722,2.958448753462604,0.7105263157894737,0.0,0.32409972299168976,-3.527700831024931,722,0.08310249307479224,0.10941828254847645,y
2019,0.029085872576177285,1.371191135734072,-5.3434903047091415,0.009695290858725761,722,4.282548476454294,0.7479224376731302,0.037396121883656507,0.23407202216066483,-0.24792243767313019,722,0.11772853185595568,0.16620498614958448,y
1,0.04,0.30333333333333334,-12.486666666666666,0.05333333333333334,300,3.1266666666666665,0.51,0.0,0.27666666666666667,-6.8966666666666665,300,0.09333333333333334,0.1,m
2,0.028368794326241134,1.6028368794326242,-13.421985815602836,0.01773049645390071,282,4.3936170212765955,0.6134751773049646,0.0,0.6347517730496454,-4.723404255319149,282,0.08865248226950355,0.11347517730496454,m
3,0.01935483870967742,1.5903225806451613,-8.825806451612904,0.0032258064516129032,310,4.935483870967742,0.7161290322580646,0.0,0.12580645161290321,-0.8774193548387097,310,0.1032258064516129,0.15161290322580645,m
4,0.0033333333333333335,0.32666666666666666,-5.8566666666666665,0.0,300,4.876666666666667,0.45666666666666667,0.05333333333333334,0.02666666666666667,0.4,300,0.09666666666666666,0.13666666666666666,m
5,0.006472491909385114,1.9061488673139158,-4.365695792880259,0.0,309,4.064724919093851,0.7669902912621359,0.06472491909385113,0.009708737864077669,-0.0970873786407767,309,0.10355987055016182,0.12944983818770225,m
6,0.013333333333333334,0.9833333333333333,-8.153333333333334,0.0033333333333333335,300,2.1533333333333333,0.43,0.0,0.0033333333333333335,-1.6566666666666667,300,0.07666666666666666,0.11333333333333333,m
7,0.01935483870967742,0.26129032258064516,-7.093548387096774,0.0032258064516129032,310,2.4516129032258065,0.2161290322580645,0.041935483870967745,0.0,-4.320388349514563,309,0.06129032258064516,0.09061488673139159,m
8,0.016129032258064516,1.1290322580645162,-2.332258064516129,0.0064516129032258064,310,4.006451612903226,1.2870967741935484,0.0,0.2129032258064516,0.7387096774193549,310,0.12580645161290321,0.16129032258064516,m
9,0.013333333333333334,1.1033333333333333,0.6,0.0,300,5.546666666666667,0.95,0.12,0.23333333333333334,2.973333333333333,300,0.14666666666666667,0.18666666666666668,m
10,0.01935483870967742,0.9096774193548387,-8.458064516129033,0.0,310,4.803225806451613,0.34838709677419355,0.0,0.4161290322580645,-2.641935483870968,310,0.08387096774193549,0.11935483870967742,m
11,0.02097902097902098,0.0,-15.79020979020979,0.0,286,3.388111888111888,0.5699300699300699,0.0,0.26223776223776224,-6.2972027972027975,286,0.06293706293706294,0.10839160839160839,m
12,0.04,0.43,-9.823333333333334,0.02,300,3.03,0.36666666666666664,0.0,0.9266666666666666,-3.9,300,0.1,0.11,m
Mon,0.025145067698259187,0.26692456479690524,-8.566731141199226,0.015473887814313346,517,3.4216634429400385,0.5609284332688588,0.06382978723404255,0.15667311411992263,-2.357833655705996,517,0.08704061895551257,0.11992263056092843,d
Tue,0.017374517374517374,0.6447876447876448,-9.67953667953668,0.009652509652509652,518,3.142857142857143,0.4922779922779923,0.02702702702702703,0.021235521235521235,-2.998069498069498,518,0.07722007722007722,0.12162162162162163,d
Wed,0.015444015444015444,1.5617760617760619,-7.397683397683398,0.011583011583011582,518,3.77992277992278,0.42084942084942084,0.03088803088803089,0.25096525096525096,-1.6344294003868471,517,0.08301158301158301,0.12379110251450677,d
Thu,0.01568627450980392,0.8627450980392157,-7.1647058823529415,0.0058823529411764705,510,4.376470588235295,0.8862745098039215,0.0,0.10980392156862745,0.4980392156862745,510,0.11372549019607843,0.16862745098039217,d
Fri,0.017509727626459144,0.943579766536965,-5.389105058365759,0.0019455252918287938,514,4.570038910505836,0.7762645914396887,0.007782101167315175,0.9319066147859922,-1.132295719844358,514,0.11089494163424124,0.13424124513618677,d
Sat,0.02681992337164751,1.181992337164751,-8.088122605363985,0.007662835249042145,522,4.46360153256705,0.6417624521072797,0.0,0.08620689655172414,-2.421455938697318,522,0.1053639846743295,0.11685823754789272,d
Sun,0.021235521235521235,0.7104247104247104,-9.121621621621621,0.009652509652509652,518,3.5501930501930503,0.4517374517374517,0.03474903474903475,0.24903474903474904,-5.55019305019305,518,0.09073359073359073,0.10424710424710425,d
