Airport,AvgDist,AvgDepDelay,OnTimeDepRate,CancellationRate,AvgArrDelay,OnTimeArrRate
ABE,611.4788914948772,10.641896062214542,72,1,4.796024200518582,67
ABI,157.9978653764053,7.541767468336417,72,2,5.220671981776765,64
ABQ,694.3913568573114,8.475728609813412,64,0,4.711513256440982,62
ABR,257.0,9.624865156418554,76,1,-0.21407387435966568,78
ABY,145.0,11.29876328921675,74,0,7.966804078975916,66
ACK,206.00630676084762,23.09207870837538,59,2,6.873360242179617,69
ACT,89.08913326580813,5.900448560266242,76,3,5.707091172214183,63
ACV,305.3632150423729,15.404131355932204,69,4,10.188724192694547,64
ACY,840.7822793526914,7.604843337541604,73,1,8.561588795775457,64
ADK,1192.0,4.942418426103647,53,4,-7.468330134357005,75
ADQ,253.0,-2.1344251108836576,77,3,-1.0330945069942,73
AEX,339.18636056718435,7.298379473328832,77,1,4.148153150111419,67
AGS,159.02705458908218,11.267546490701859,69,1,6.515958723302136,65
AKN,288.0,-1.4121405750798721,67,0,-1.293929712460064,69
ALB,724.2350934011914,8.117768395889962,69,1,5.034975416947845,64
ALO,234.0,8.734548335974644,76,3,7.602218700475436,62
AMA,410.0502003299552,6.420315814282348,74,2,5.894262951963419,63
ANC,1316.3987704596193,0.8724688407992013,78,0,-2.068773213343956,68
APN,155.1363926067559,12.955704270235818,72,3,1.6893698281349459,78
ART,287.0,15.277777777777779,58,13,11.337037037037037,65
ASE,539.1979933110368,16.395912300260125,68,6,12.329307718033517,61
ATL,646.7472026523001,9.14581169986658,64,0,1.4990862060225216,71
ATW,363.2594014680971,7.286843591191417,76,2,3.334368296262843,69
ATY,412.2619502868069,14.441682600382409,79,4,2.2796934865900385,73
AUS,893.5762552587007,9.412114589593692,63,1,4.151858394187169,63
AVL,316.8220087272194,11.965824502218474,70,2,7.823917586244821,63
AVP,511.465025797175,10.001099551721222,75,2,5.544778012684989,65
AZA,1012.4441404468764,9.782945736434108,67,0,12.076040433476004,55
AZO,161.79706473311785,6.1481610902419845,80,3,4.379671673070206,70
BDL,839.7159099427772,7.35613083785202,70,1,5.439960687305831,64
BET,399.0,-3.041248363160192,78,2,-1.8522479266695766,75
BFF,150.05838198498748,4.579649708090075,85,2,4.716430358632193,74
BFL,560.2419302775985,5.383150419625565,80,1,5.652275661717237,64
BFM,1005.7341772151899,6.082278481012659,74,4,7.0,60
BGM,378.0,11.643363728470112,78,1,5.765003798429983,69
BGR,577.0031091304799,12.557674370401077,70,3,5.826456562305619,65
BHM,513.3295050188539,9.165954113335811,70,1,5.829204503212788,64
