Origin,Dest,AverageDelay
ATL,BNA,7.142315558
ATL,BWI,9.437249163
ATL,CLT,5.885848587
ATL,DCA,9.016791214
ATL,DEN,10.07858825
ATL,DFW,10.14249321
ATL,DTW,9.289829147
ATL,EWR,20.11856712
ATL,FLL,9.5301869
ATL,IAD,8.348011671
ATL,IAH,9.904190816
ATL,LAS,9.93513306
ATL,LAX,10.61385496
ATL,LGA,14.06623362
ATL,MCO,9.452721185
ATL,MDW,9.196775039
ATL,MSP,8.572395562
ATL,ORD,11.88457087
ATL,PHL,10.58509038
ATL,PHX,8.365674907
ATL,SEA,7.180937099
ATL,SFO,13.7720251
ATL,SLC,8.630112026
BNA,ATL,6.226709935
BNA,BWI,9.564677575
BNA,CLT,5.754365247
BNA,DCA,8.137673191
BNA,DEN,8.644712635
BNA,DFW,11.23222885
BNA,DTW,7.399594814
BNA,EWR,19.15863477
BNA,FLL,12.44042875
BNA,IAD,12.42622951
BNA,IAH,11.19281211
BNA,LAS,7.675675676
BNA,LAX,9.405795751
BNA,LGA,14.36967773
BNA,MCO,11.01201437
BNA,MDW,8.295945829
BNA,MSP,9.251476907
BNA,ORD,14.10288493
BNA,PHL,10.1271097
BNA,PHX,8.335412475
BNA,SEA,4.643742621
BNA,SFO,21.17552622
BNA,SLC,8.762026612
BWI,ATL,9.369933811
BWI,BNA,9.709141274
BWI,CLT,6.093052448
BWI,DEN,9.639901712
BWI,DFW,13.87886721
BWI,DTW,10.62612431
BWI,EWR,14.98660484
BWI,FLL,11.12245756
BWI,IAH,10.58076564
BWI,LAS,11.00978809
BWI,LAX,11.88814532
BWI,MCO,12.12547381
BWI,MDW,9.931831962
BWI,MSP,9.059945205
BWI,ORD,10.68411801
BWI,PHL,4.772234273
BWI,PHX,10.02345138
BWI,SEA,11.15246741
BWI,SFO,12.52763985
BWI,SLC,9.35756226
CLT,ATL,7.173221236
CLT,BNA,6.832954832
CLT,BWI,9.274473426
CLT,DCA,7.788676451
CLT,DEN,9.374069207
CLT,DFW,10.00644572
CLT,DTW,5.688324143
CLT,EWR,16.62581281
CLT,FLL,7.962715551
CLT,IAD,9.866404232
CLT,IAH,9.412567477
CLT,LAS,10.66185661
CLT,LAX,10.32075642
CLT,LGA,14.1921721
CLT,MCO,9.985393639
CLT,MDW,10.22654821
CLT,MSP,7.379584692
CLT,ORD,11.6697802
CLT,PHL,10.14347162
CLT,PHX,9.02133298
CLT,SEA,11.41836327
CLT,SFO,14.53028206
CLT,SLC,7.281388889
DCA,ATL,8.145070977
DCA,BNA,7.371535416
DCA,CLT,5.173282798
DCA,DEN,7.916505658
DCA,DFW,9.260346964
DCA,DTW,7.224720906
DCA,EWR,20.59097469
DCA,FLL,10.86278847
DCA,IAH,9.143016241
DCA,LAS,2.619074177
DCA,LAX,6.681804092
DCA,LGA,9.718489332
DCA,MCO,9.279156714
DCA,MDW,7.972244377
DCA,MSP,7.221902771
DCA,ORD,8.625169683
DCA,PHL,8.886840432
DCA,PHX,9.844506518
DCA,SEA,-0.221763085
DCA,SFO,12.19143093
DCA,SLC,10.60646166
DEN,ATL,9.582749698
DEN,BNA,9.710633871
DEN,BWI,11.2111182
DEN,CLT,7.983716685
DEN,DCA,12.80077209
DEN,DFW,11.71638842
DEN,DTW,11.51837512
DEN,EWR,20.18064593
DEN,FLL,10.44959163
DEN,IAD,9.795797142
DEN,IAH,9.191700422
DEN,LAS,9.977556687
DEN,LAX,11.85521554
DEN,LGA,16.00969728
DEN,MCO,10.28490757
DEN,MDW,10.65726752
DEN,MSP,9.924987346
DEN,ORD,12.71122911
DEN,PHL,12.06516366
DEN,PHX,9.457655723
DEN,SEA,8.999567461
DEN,SFO,18.44095474
DEN,SLC,9.752801358
DFW,ATL,9.925525594
DFW,BNA,9.348932499
DFW,BWI,11.0198644
DFW,CLT,9.487339524
DFW,DCA,9.915196322
DFW,DEN,10.72956824
DFW,DTW,13.93884525
DFW,EWR,18.02312654
DFW,FLL,10.7840949
DFW,IAD,12.15581702
DFW,IAH,10.81724333
DFW,LAS,11.81093824
DFW,LAX,12.33849118
DFW,LGA,14.67738758
DFW,MCO,11.88694808
DFW,MSP,10.52101533
DFW,ORD,12.89523059
DFW,PHL,14.26379835
DFW,PHX,12.65316017
DFW,SEA,10.91960578
DFW,SFO,16.30178089
DFW,SLC,11.05085428
DTW,ATL,7.410206766
DTW,BNA,6.606100041
DTW,BWI,6.85388803
DTW,CLT,4.736295407
DTW,DCA,8.101590106
DTW,DEN,7.819243463
DTW,DFW,12.31671802
DTW,EWR,20.10634606
DTW,FLL,6.258637993
DTW,IAD,12.62941987
DTW,IAH,11.27063116
DTW,LAS,7.099717722
DTW,LAX,8.935580829
DTW,LGA,14.06572113
DTW,MCO,6.762977939
DTW,MDW,9.146802565
DTW,MSP,6.06783049
DTW,ORD,12.32265913
DTW,PHL,10.4217851
DTW,PHX,6.958592133
DTW,SEA,5.733427862
DTW,SFO,14.6633787
DTW,SLC,6.183443086
EWR,ATL,13.89866074
EWR,BNA,13.69030056
EWR,BWI,13.39629439
EWR,CLT,8.437062937
EWR,DCA,14.77840099
EWR,DEN,15.73061991
EWR,DFW,12.95698925
EWR,DTW,12.69821354
EWR,FLL,17.97548901
EWR,IAD,17.25588865
EWR,IAH,14.6910914
EWR,LAS,14.37441659
EWR,LAX,14.71932386
EWR,MCO,16.94495525
EWR,MDW,16.29738393
EWR,MSP,14.6831094
EWR,ORD,17.39445877
EWR,PHL,-6
EWR,PHX,14.44722291
EWR,SEA,10.45997459
EWR,SFO,18.34620648
EWR,SLC,18.55997327
FLL,ATL,8.056015292
FLL,BNA,10.60650563
FLL,BWI,10.51113445
FLL,CLT,4.92985863
FLL,DCA,12.31120118
FLL,DEN,8.984562388
FLL,DFW,9.263431056
FLL,DTW,8.994191466
FLL,EWR,20.58454417
FLL,IAD,6.179733728
FLL,IAH,5.705664785
FLL,LAS,12.56506972
FLL,LAX,11.79849104
FLL,LGA,17.25743241
FLL,MCO,8.136701718
FLL,MDW,10.54656863
FLL,MSP,8.845590576
FLL,ORD,11.59716302
FLL,PHL,11.09284017
FLL,PHX,10.67967298
FLL,SEA,8.082009446
FLL,SFO,13.69514286
FLL,SLC,8.391136802
IAD,ATL,8.199698694
IAD,BNA,14.76390465
IAD,CLT,9.337084399
IAD,DEN,7.983018444
IAD,DFW,14.48576123
IAD,DTW,10.39652788
IAD,EWR,21.35404006
IAD,FLL,7.535846268
IAD,IAH,11.35941494
IAD,LAS,9.681116969
IAD,LAX,7.65776789
IAD,LGA,18.82118451
IAD,MCO,9.125602873
IAD,MDW,7.022857143
IAD,MSP,13.29691934
IAD,ORD,11.09105744
IAD,PHL,13.54061896
IAD,PHX,15.89070147
IAD,SEA,7.231204304
IAD,SFO,11.60058063
IAD,SLC,0.923366834
IAH,ATL,11.97658294
IAH,BNA,9.385144429
IAH,BWI,9.941649523
IAH,CLT,7.177764165
IAH,DCA,10.06445276
IAH,DEN,10.86451364
IAH,DFW,12.12965747
IAH,DTW,12.44187879
IAH,EWR,19.12037502
IAH,FLL,10.75701481
IAH,IAD,13.20548675
IAH,LAS,11.10588772
IAH,LAX,12.75513939
IAH,LGA,19.29406675
IAH,MCO,10.67387665
IAH,MSP,10.18779689
IAH,ORD,13.0143819
IAH,PHL,12.63490605
IAH,PHX,8.963483721
IAH,SEA,10.68741755
IAH,SFO,18.77060172
IAH,SLC,11.82554101
LAS,ATL,7.813862231
LAS,BNA,10.76679649
LAS,BWI,12.33574952
LAS,CLT,6.16314474
LAS,DCA,10.2301676
LAS,DEN,9.875303363
LAS,DFW,10.70304797
LAS,DTW,6.410840341
LAS,EWR,12.10482126
LAS,FLL,19.53041145
LAS,IAD,8.69913928
LAS,IAH,7.190667792
LAS,LAX,9.983348295
LAS,MCO,13.76146038
LAS,MDW,11.04634955
LAS,MSP,5.98003435
LAS,ORD,9.808299731
LAS,PHL,9.872633725
LAS,PHX,8.818622765
LAS,SEA,5.85937549
LAS,SFO,16.05356458
LAS,SLC,8.118060905
LAX,ATL,11.17652352
LAX,BNA,10.56493994
LAX,BWI,10.28627828
LAX,CLT,9.638049575
LAX,DCA,5.706092079
LAX,DEN,10.92940101
LAX,DFW,10.50782169
LAX,DTW,11.47524994
LAX,EWR,13.63035378
LAX,FLL,12.53111554
LAX,IAD,6.279446956
LAX,IAH,7.843659849
LAX,LAS,9.752282421
LAX,MCO,10.43778295
LAX,MDW,13.45927759
LAX,MSP,9.531001778
LAX,ORD,10.36570558
LAX,PHL,10.0342772
LAX,PHX,11.09617196
LAX,SEA,5.33199312
LAX,SFO,15.16801157
LAX,SLC,9.301304906
LGA,ATL,13.51878334
LGA,BNA,12.53034875
LGA,CLT,9.123510897
LGA,DCA,7.866201915
LGA,DEN,12.91750885
LGA,DFW,10.57946053
LGA,DTW,11.47195122
LGA,FLL,17.36074529
LGA,IAD,19.83042489
LGA,IAH,11.82442273
LGA,LAS,-6
LGA,MCO,13.83185884
LGA,MDW,16.8909831
LGA,MSP,11.34210526
LGA,ORD,13.9015047
LGA,PHL,6.515361196
LGA,PHX,11.875
MCO,ATL,7.218530016
MCO,BNA,10.34959532
MCO,BWI,10.94096835
MCO,CLT,8.567497463
MCO,DCA,11.65969266
MCO,DEN,11.10468187
MCO,DFW,10.98455036
MCO,DTW,7.974898882
MCO,EWR,22.12063686
MCO,FLL,10.50110749
MCO,IAD,11.53140691
MCO,IAH,10.76199398
MCO,LAS,10.40538336
MCO,LAX,11.55484413
MCO,LGA,18.61291899
MCO,MDW,9.958438742
MCO,MSP,6.988479502
MCO,ORD,12.55593234
MCO,PHL,11.98595814
MCO,PHX,10.34635706
MCO,SEA,3.883129123
MCO,SFO,13.10768983
