Dest,ArrDelay
YNG,59.5
ILG,21.31632653
OTH,17.96409336
SHD,17.82520029
PGV,15.74795082
OGS,15.42278861
CKB,15.37352113
MEI,14.63572268
SFB,14.50842297
UIN,14.2873633
PPG,13.63377926
PSE,13.35979228
BQN,13.28474686
PIB,13.24393132
LWB,13.21336554
SLN,13.10775862
EWR,13.01549964
EGE,12.76832977
HHH,12.60816179
ASE,12.32930772
MMH,12.16073059
AZA,12.07604043
PGD,11.62754116
TTN,11.46665128
BKG,11.35761589
ART,11.33703704
SWF,11.04917258
MQT,10.71513987
COU,10.67012635
FLO,10.65882353
HPN,10.56921736
GUC,10.46114742
LGA,10.27656214
ACV,10.18872419
SFO,10.0075761
CMX,9.984400657
CHO,9.215807931
HGR,9.211838006
COS,9.164964564
PBG,9.099185573
PIR,9.074355083
CAK,8.97096856
LCK,8.92092803
ORH,8.724177072
TYS,8.581975055
ACY,8.561588796
BPT,8.436400346
USA,8.299535277
OAJ,8.272308022
MGM,8.257320953
FWA,8.235488549
JLN,8.165583498
PIE,8.14175918
BLV,8.096409247
SBN,8.076690143
CHA,8.021859526
ABY,7.966804079
IFP,7.837912088
AVL,7.823917586
LYH,7.787588295
ISP,7.691361296
EWN,7.677689873
SPI,7.660510328
CRW,7.653931068
BOS,7.609086428
ALO,7.6022187
LAW,7.548813106
MHK,7.520085863
RST,7.490055504
HTS,7.466624685
FSM,7.457714353
LBE,7.427898045
UST,7.411627907
JFK,7.372143877
RIC,7.349811929
SJU,7.33703526
JAC,7.290496055
BTV,7.272875708
BTR,7.253874539
BMI,7.245224414
PAH,7.2055028
SCE,7.195409429
SUX,7.148811362
ORD,7.13467367
MFE,7.024913571
BFM,7
RDD,6.972638196
FSD,6.931923118
ACK,6.873360242
LBB,6.865842959
PWM,6.843651241
SAF,6.779708595
DHN,6.738802661
SCK,6.706906232
SBP,6.673278591
CAE,6.665801543
MKG,6.664780764
OWB,6.632075472
MOB,6.586185866
CMI,6.544975635
AGS,6.515958723
OGD,6.467532468
ELP,6.461929594
DAY,6.45554702
GSO,6.431003796
HYS,6.392492278
CSG,6.369974116
CRP,6.286225083
MRY,6.266016964
SYR,6.229491598
SBA,6.21570207
EAU,6.206672321
PIA,6.186952381
DBQ,6.164659941
EAR,6.160451977
TVC,6.103007655
MLU,6.045737761
FLL,6.035750978
STX,6.017030233
OKC,5.9906586
DFW,5.968205575
MLI,5.948066639
MAF,5.915782775
AMA,5.894262952
SGF,5.879757551
HYA,5.861702128
SHV,5.853086025
GNV,5.850659663
PHF,5.83262395
BHM,5.829204503
LEX,5.827902999
BGR,5.826456562
ORF,5.824776201
GSP,5.78591163
BGM,5.765003798
HVN,5.754850923
XNA,5.751969903
BQK,5.748845023
ERI,5.738817286
ACT,5.707091172
MFR,5.704861111
MBS,5.657967842
BFL,5.652275662
TOL,5.646918562
DLH,5.622714513
PBI,5.568619715
AVP,5.544778013
TRI,5.529219418
GRB,5.504357857
GPT,5.463595432
TUS,5.459708374
BDL,5.439960687
RDU,5.418822203
STC,5.41046832
CID,5.39933017
DRO,5.391534837
PVD,5.387086518
MCO,5.374924336
BUF,5.367580451
TUL,5.357022567
FAY,5.314823796
PVU,5.296470588
CVG,5.28205278
GRR,5.280693294
LAN,5.27789032
ECP,5.274632224
GRK,5.273413258
VPS,5.262279078
ILM,5.245719941
ABI,5.220671982
ONT,5.212802951
PUB,5.190719258
ROC,5.178570059
TYR,5.142315303
GTR,5.129479769
ICT,5.092537833
HDN,5.080143794
CGI,5.079044118
LBF,5.067725753
ALB,5.034975417
JAX,4.991392154
STS,4.987845924
MHT,4.975840532
ROA,4.927863484
FAT,4.887854573
SAV,4.885409315
CWA,4.868526339
DSM,4.858209603
CDC,4.847592763
RDM,4.838930199
SDF,4.83420955
FAR,4.829952077
ABE,4.796024201
TXK,4.764837626
MTJ,4.758525495
LAX,4.753853709
JAN,4.748601011
BFF,4.716430359
CLE,4.714620702
ABQ,4.711513256
PNS,4.684521698
LGB,4.668832193
MEM,4.59563703
LIT,4.582055619
VLD,4.573366729
EVV,4.559955132
PHL,4.544479202
GRI,4.542972118
LSE,4.514527568
GGG,4.511111111
ITH,4.491455205
LNK,4.459961315
MDT,4.452424604
LFT,4.425112746
IND,4.424196768
JMS,4.415051074
TPA,4.402650866
RNO,4.393945289
EUG,4.389305636
DCA,4.388581131
AZO,4.379671673
PLN,4.373243618
STT,4.360778443
LAR,4.355456286
BUR,4.349583238
MIA,4.313897551
SAT,4.307544616
CLD,4.2984375
PSP,4.246141975
PRC,4.214579055
LRD,4.21150519
MYR,4.201821645
AUS,4.151858394
