Origin,DepDelay
ENV,157
YNG,63
TKI,45
XWA,32.28985507
PPG,29.34615385
ILG,28.51
OTH,26.60431655
HGR,25.7788162
ACK,23.09207871
SLN,22.06407887
HYA,21.85106383
MVY,21.50543168
BLV,21.25785855
MMH,21.0739726
OWB,20.85446009
LWB,20.84448026
OGD,20.80519481
OGS,20.42942943
UST,20.2627907
SHD,19.45912409
EGE,18.87022643
CKB,18.82882883
LCK,18.49079755
MEI,18.28375465
SCK,18.26262626
PGV,17.92418033
STC,17.89285714
SWF,17.86096257
PSM,17.63186813
HTS,17.45471698
MQT,17.30534188
CYS,16.71378709
ASE,16.3959123
CEC,15.94736842
PVU,15.57276995
ACV,15.40413136
ART,15.27777778
TTN,15.22425083
USA,15.22278481
ORH,14.98237583
EWR,14.85359998
ATY,14.4416826
CMX,14.4329586
BQN,14.32410897
HPN,14.27973553
ITH,14.07674358
UIN,13.95498783
CGI,13.92397302
CIU,13.73299823
PIR,13.61796043
CHO,13.51513516
LGA,13.23262146
PRC,13.11305242
APN,12.95570427
PBG,12.83192789
PBI,12.76628689
CRW,12.75489174
BKG,12.7218543
SUX,12.71719667
ORD,12.69148698
ESC,12.65430125
BTV,12.59166944
BGR,12.55767437
JFK,12.53879902
FLL,12.41024818
FLO,12.32352941
MFR,12.32059615
DLH,12.24724816
MCO,12.19281419
COU,12.11886849
RDD,12.11314476
HDN,12.04883721
SFO,12.01921994
AVL,11.9658245
PIB,11.93872114
PLN,11.93508807
JAC,11.93064978
MDW,11.83363607
DAL,11.77413116
MIA,11.65023884
BGM,11.64336373
PWM,11.58202886
BPT,11.46968822
DFW,11.4672876
BOS,11.44537757
HOU,11.41591601
FWA,11.40731247
CHA,11.36198977
ABY,11.29876329
SBN,11.27995509
AGS,11.26754649
COS,11.24933967
ROA,11.23872748
SBP,11.19590383
GUC,11.18781726
HHH,11.11781713
RDU,11.11121033
RST,11.04972248
DVL,11.04362086
GRI,11.04224138
TVC,11.0324194
SJU,10.99363077
SAV,10.98567472
PAH,10.9500609
RDM,10.88729607
RIC,10.86537647
MGM,10.84471566
SCE,10.82298137
PAE,10.73953202
ORF,10.73835796
JLN,10.6960452
XNA,10.65981816
ABE,10.64189606
SGF,10.61844466
BTR,10.6015798
DEN,10.58945017
FAY,10.58756971
IAD,10.56839495
BWI,10.4907892
LAX,10.48567179
SMX,10.39307412
FSD,10.35787138
CAK,10.27632538
LAS,10.24774634
IAG,10.18055083
OAJ,10.13675855
RFD,10.13080169
BNA,10.1085374
HYS,10.09320019
ISP,10.07015219
SRQ,10.02996104
SPI,10.02745717
PHL,10.00978947
AVP,10.00109955
DHN,9.999408721
PHF,9.985505579
PIA,9.977714286
CVG,9.930785406
GNV,9.917414941
SAF,9.888903743
GSP,9.883135212
CID,9.882571317
STL,9.867223129
TYS,9.847731129
EUG,9.846586538
TPA,9.805819308
AZA,9.782945736
MDT,9.765652214
GSO,9.733962264
STS,9.717358773
IAH,9.674704049
FAT,9.631602067
ABR,9.624865156
MLI,9.484521238
LBL,9.456155143
CLT,9.4505969
MLU,9.448134201
FAR,9.444777192
SDF,9.419209618
AUS,9.41211459
MSY,9.397640331
MYR,9.375
EAU,9.34916596
SBA,9.32453368
RAP,9.313498971
RSW,9.297717042
TRI,9.265805802
ROC,9.22653883
IMT,9.222420458
LEX,9.205391386
SYR,9.195006355
BHM,9.165954113
ATL,9.1458117
CHS,9.144587168
DTW,9.113515014
SHV,9.097422944
DCA,9.091498787
LYH,9.084300858
MTJ,9.012011037
DAY,9.009601197
PSP,8.889502549
JAX,8.881244258
CLE,8.875285201
CAE,8.826241513
OAK,8.81219191
ALO,8.734548336
GRR,8.732830674
EVV,8.693752804
MHK,8.687835558
BUF,8.682543752
CMH,8.636650869
DRT,8.623655914
SFB,8.548878836
GCK,8.532880629
ELP,8.505785984
IND,8.502824293
LAW,8.480113636
ABQ,8.47572861
LAN,8.442788948
TOL,8.433443344
MEM,8.410193322
MOB,8.379602104
MRY,8.36438587
DSM,8.34729603
RNO,8.310353213
ICT,8.287764153
ILM,8.284463137
CSG,8.279627393
PHX,8.261370432
GTR,8.233571016
STT,8.227860101
ONT,8.161862038
ALB,8.117768396
VLD,8.103505843
PVD,8.084302557
MBS,8.078477602
BQK,8.06950861
EWN,8.056618694
BIS,8.050464889
ERI,8.035829384
MOT,8.018340438
FSM,7.990410478
MKE,7.984981653
PGD,7.980767461
VPS,7.951552084
LFT,7.949639263
BUR,7.928422148
JMS,7.901919866
MSN,7.901562558
JAN,7.883435583
BMI,7.833178006
EYW,7.804328677
SAN,7.80275008
MSP,7.762495031
SAT,7.722840247
LSE,7.713157895
OKC,7.705292858
PSE,7.698089804
LAR,7.628151931
ACY,7.604843338
ABI,7.541767468
CMI,7.502699855
MFE,7.478272797
LIT,7.4583644
LBB,7.43246701
BZN,7.41999381
MCI,7.383239743
BDL,7.356130838
SMF,7.305841392
AEX,7.298379473
GRK,7.287920457
ATW,7.286843591
OMA,7.281881771
LGB,7.261853541
PUB,7.251624884
BJI,7.245910578
CNY,7.227381906
MKG,7.225806452
LNK,7.179229221
ECP,7.130606191
IFP,7.104395604
DRO,7.096937058
PIT,7.095914149
MAF,7.087890521
DAB,7.034997592
HSV,7.007299971
TUS,7.001474581
EFD,7
HRL,6.942998392
SUN,6.878623469
SJC,6.864112403
SPS,6.818447412
PNS,6.761941922
SNA,6.720255995
SEA,6.708486225
LRD,6.707475342
ELM,6.694371972
TUL,6.694288638
GPT,6.600713698
BOI,6.560936792
FNT,6.550155614
GRB,6.516098727
TLH,6.451911991
HVN,6.432828761
AMA,6.420315814
SJT,6.389689496
WYS,6.215938303
GGG,6.187367678
DBQ,6.175724048
CWA,6.171685743
MLB,6.157977552
AZO,6.14816109
TXK,6.135274356
MHT,6.134391028
RHI,6.131020315
VEL,6.108506944
BFM,6.082278481
GUM,6.030480657
TYR,6.020610058
PSC,6.014990089
CRP,6.004288778
ROW,5.912748835
ACT,5.90044856
SLC,5.876003806
MSO,5.856414198
GFK,5.50897598
BRD,5.506578947
LBE,5.495464061
BFL,5.38315042
STX,5.344431688
ISN,5.311298393
CLD,5.244929797
PIE,5.223179069
PDX,5.213484539
COD,4.950536509
ADK,4.942418426
GEG,4.888225392
BRO,4.88556354
INL,4.877557444
CLL,4.746498014
BFF,4.579649708
HIB,4.200821777
RKS,4.124212936
HOB,4.075340393
FCA,4.009338271
GCC,3.992827004
LCH,3.965623154
FLG,3.85234079
GTF,3.788817857
SWO,3.778639618
TWF,3.651488306
BIL,3.54181175
OGG,3.261729662
BTM,3.239592431
IDA,3.183547027
SGU,3.165158549
EAR,3.119909502
HNL,2.489507881
GJT,1.993622601
CDC,1.985578398
BLI,1.901048493
YUM,1.867978821
HLN,1.713562253
LIH,1.403762255
DIK,1.342342342
KOA,1.101091461
LBF,0.91038526
SPN,0.900136799
ANC,0.872468841
EKO,0.512332189
GST,0.364963504
CPR,0.270860077
JNU,-0.278513284
ITO,-0.68389474
PIH,-0.758197546
FAI,-0.761456078
KTN,-0.764792536
SIT,-0.90174002
LWS,-1.233752621
OTZ,-1.281284607
AKN,-1.412140575
WRG,-1.520948181
DLG,-1.600973236
ADQ,-2.134425111
PSG,-2.230981257
OME,-2.391581279
BET,-3.041248363
BRW,-3.897448015
SCC,-5.234162896
CDV,-5.473451327
YAK,-7.919823058
