CityName,DepDelay
Staunton,103.8624
Salina,101.7159
Kearney,95.918
Pago Pago,89.2288
Pierre,89.1613
Marquette,88.7854
Clarksburg/Fairmont,87.6354
Scottsbluff,87.2235
Lewisburg,86.6132
Liberal,86.1306
Devils Lake,84.8662
Hancock/Houghton,84.8439
Cape Girardeau,83.518
Ogdensburg,83.1471
Vernal,83.066
Hays,82.0226
Jamestown,79.542
Cheyenne,79.0061
Binghamton,78.1374
Quincy,77.1594
Watertown,77.023
Ithaca/Cortland,76.8034
Eagle,76.643
Meridian,76.4525
North Platte,75.9259
Moab,74.6612
Rhinelander,74.633
Pellston,74.1685
International Falls,74.0458
Paducah,73.4215
Eau Claire,72.3296
Mammoth Lakes,72.1724
Duluth,71.8654
Redding,71.8166
North Bend/Coos Bay,71.7937
Pueblo,71.529
Saginaw/Bay City/Midland,71.171
Hattiesburg/Laurel,69.2328
Aspen,68.6065
State College,68.0989
Sault Ste. Marie,67.7883
Laramie,67.2646
Butte,67.19
Escanaba,67.157
Nantucket,67.0364
Dickinson,67.0082
Arcata/Eureka,66.5694
Santa Fe,66.2335
Crescent City,65.6207
Williston,65.3918
Everett,65.1291
Manhattan/Ft. Riley,65.0943
Bend/Redmond,64.9894
Laredo,64.6389
Brownsville,64.4449
Iron Mountain/Kingsfd,64.3928
Hobbs,63.6501
Minot,63.5075
Kalamazoo,63.1781
Bemidji,63.1606
Hilton Head,63.0491
Youngstown/Warren,63
Muskegon,62.9287
New Haven,62.2659
Sun Valley/Hailey/Ketchum,62.19
Lake Charles,62.07
Fort Smith,61.9095
Hayden,61.7655
Alpena,61.7041
Hagerstown,61.6099
Lewiston,61.6029
Newburgh/Poughkeepsie,61.5749
Monroe,61.5567
Rock Springs,61.5558
Erie,61.5429
Garden City,61.3608
Hibbing,61.3299
La Crosse,61.3101
College Station/Bryan,60.8685
Charlottesville,60.4662
Bangor,60.3965
San Luis Obispo,60.1728
Great Falls,59.9169
Santa Barbara,59.9028
Gillette,59.6785
Roswell,59.6716
